Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
U36,ABERDEEN,No,No,No,Yes
46U,ALPINE,No,No,No,Yes
U01,AMERICAN FALLS,Yes,No,No,Yes
U92,ANTELOPE VALLEY,No,No,No,No
55H,ATLANTA,No,No,No,No
U51,BANCROFT,No,No,No,Yes
U60,BIG CREEK,No,No,No,No
U46,BIG SOUTHERN BUTTE,No,No,No,No
LJQ2,BLACKFOOT,Yes,No,No,Yes
BOI,BOISE AIR TERMINAL,No,No,No,No
BOI,BOISE AIRPORT BOISEAIRTERMINAL,Yes,No,No,Yes
65S,BONNERS FERRY,Yes,No,No,Yes
U63,BRUCE MEADOWS,No,No,Yes,No
U03,BUHL,Yes,No,No,Yes
BYI,BURLEY,No,No,No,Yes
108,CABIN CREEK USFS,No,No,No,No
EUL,CALDWELL,Yes,No,No,Yes
U54,BERNARD USFS,No,No,No,No
U65,CAREY,No,No,No,Yes
U70,CASCADE,No,No,No,Yes
66S,CAVANAUGH BAY,Yes,No,No,Yes
C64,CAYUSE CREEK USFS,No,No,No,No
LLJ,CHALLIS,Yes,No,No,Yes
U79,CHAMBERLAIN BASIN USFS,No,No,No,No
COE,COEUR D'ALENE,Yes,No,No,Yes
U81,COLD MEADOWS USFS,No,No,No,No
0U2,COPPER BASIN,No,No,No,No
D47,COUGAR RANCH IDF&G,No,No,No,No
S84,COTTONWOOD,No,No,No,Yes
U82,COUNCIL,No,No,No,Yes
U48,COX'S WELL,No,No,No,No
S89,CRAIGMONT,No,No,No,No
A05,DIXIE USFS,No,No,No,No
U58,DOWNEY,No,No,No,Yes
DIJ,DRIGGS,Yes,No,No,Yes
U41,DUBOIS,No,No,No,Yes
S90,ELK CITY,No,No,No,Yes
S78,EMMETT,Yes,No,No,Yes
U86,FAIRFIELD,No,No,No,Yes
S92,FISH LAKE USFS,No,No,No,No
12ID,FLYING BRANCH,No,No,No,Yes
U88,GARDEN VALLEY,Yes,No,No,Yes
GNG,GOODING,Yes,No,No,Yes
U45,GRAHAM USFS,No,No,No,No
GIC,GRANGEVILLE,Yes,No,No,Yes
U91,GRASMERE,No,No,No,No
SUN,HAILEY,No,No,No,No
6S5,HAMILTON MT,Yes,No,No,Yes
U94,HAZELT ON,No,No,No,Yes
U53,HENRY'S LAKE,No,No,No,No
OU?,HOLLOW TOP,No,No,No,No
S66,HOMEDALE,No,No,No,Yes
U97,HOWE,No,No,No,No
U98,IDAHO CITY USFS,No,No,No,Yes
IDA,IDAHO FALLS,No,No,No,No
S81,INDIAN CREEK USFS,No,No,No,No
06U,JACKPOT NV,Yes,No,No,Yes
JER,JEROME,Yes,No,No,Yes
3U2,JOHNSON CREEK,Yes,No,Yes,Yes
S73,KAMIAH,Yes,No,No,Yes
S83,KELLOGG,No,No,No,Yes
S82,KOOSKIA,No,No,No,Yes
24K,KRASSELUSFS,No,No,No,No
U99,LAIDLAW CORRALS,No,No,No,No
0U0,LANDMARK USFS,No,No,Yes,No
UOO,LEADORE,No,No,No,Yes
C53,LOWER LOON,No,No,No,No
U62,MACKAY,No,No,No,Yes
ID28,MACKAY BAR,No,No,No,No
S77,MAGEE,No,No,No,No
U93,MAGIC RESERVOIR,No,No,No,Yes
0U3,MAHONEY CREEK USFS,No,No,No,No
ID8,MARBLE CREEK,No,No,No,No
CITY,MALAD,Yes,No,No,Yes
OU8,MAY,No,No,No,No
MYL,MCCALL,No,No,No,Yes
U37,MIDWAY,No,No,No,No
3U0,MURPHY HOT SPRINGS ~~~~R,No,No,No,No
1U3,MURPHY,No,No,No,Yes
MAN,NAM PA,No,No,No,Yes
0S5,NEZ PERCE,No,No,No,Yes
ONO,ONTARIO OR,Yes,No,No,Yes
S68,OROFINO,No,No,No,Yes
75C,OROGRANDE USFS,No,No,No,No
50S,PARMA,No,No,No,Yes
S75,PAYETTE,No,No,No,Yes
ID82,PICABO,No,No,No,Yes
1U9,PINE,No,No,No,Yes
PIH,,No,No,No,No
2U0,PRAIRIE,No,No,Yes,No
U10,PRESTON,Yes,No,No,Yes
67S,PRIEST LAKE USFS,No,No,No,Yes
PUW,PULLMAN/MOSCOW 1~l8uR-1,No,No,No,No
192,REED RANCH,No,No,Yes,No
RXE,REXBURG,Yes,No,No,Yes
U56,RIGBY,No,No,No,Yes
2U4,ROCKFORD,No,No,No,Yes
U12,ST ANTHONY,No,No,No,Yes
S72,ST MARIES,No,No,No,Yes
SMN,SALMON,Yes,No,No,Yes
SZT,SANDPOINT,Yes,No,No,Yes
2U5,SHEARER USFS,No,No,No,No
U87,SMILEY CREEK ~~~:J,Yes,No,No,Yes
U78,SODA SPRINGS,Yes,No,No,Yes
85U,SOLDIER BAR USFS,No,No,No,No
2U7,STANLEY,No,No,No,Yes
32S,STEVENSVILLE MT,No,No,No,Yes
ID74,SULPHUR CREEK,No,No,No,Yes
2U8,THOMAS CREEK,No,No,No,No
U61,TWIN BRIDGES,No,No,No,No
TWF,TWIN FALLS,No,No,No,No
U72,UPPER LOON CREEK USFS,No,No,No,No
3U1,WARREN USFS,No,No,No,Yes
52U,WEATHERBY USFS,No,No,No,No
S87,WEISER,Yes,No,No,Yes
C48,WILSON BAR-USFS,No,No,No,No
145,WAPSHILLA,No,No,No,No
S76,BROOKS SPB,No,No,No,Yes
S96,LAKE PEND OREILLE SPB,No,No,No,No
78U,SNAKE RIVER SPB,No,No,No,Yes
D28,TANGLEFOOT SPB,No,No,No,Yes
