Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
3U3,ANACONDA,No,No,No,Yes
3U4,ASHLAND,No,No,No,No
3U5,AUGUSTA,No,No,No,Yes
BHK,BAKER,Yes,No,No,Yes
3U7,BENCHMARK,No,No,Yes,No
3U8,BIG SANDY,Yes,No,No,Yes
6SØ,BIG TIMBER,Yes,No,No,Yes
BIL,BILLINGS,Yes,No,No,Yes
BBØ,BLACK BUTTE NORTH,No,No,No,No
3U9,BOULDER,No,No,No,Yes
BZN,BOZEMAN,No,No,No,Yes
6S1,BRIDGER,No,No,No,Yes
ØØF,BROADUS,Yes,No,No,Yes
8SØ,BROWNING,No,No,No,Yes
BW8,BULLWHACKER,No,No,No,No
BTM,BUTTE,Yes,No,No,Yes
8U9,CANYON FERRY,No,No,Yes,Yes
LTY,CHESTER,No,No,No,Yes
S71,CHESTER,No,No,No,Yes
CII,CHOTEAU,Yes,No,No,Yes
4U6,CIRCLE,No,No,No,Yes
M46,COLSTRIP,No,No,No,Yes
6S3,COLUMBUS,No,No,No,Yes
SØ4,CONDON,No,No,No,No
SØ1,CONRAD,No,No,No,Yes
CWØ,COW CREEK,No,No,No,No
S85,CULBERTSON,No,No,No,Yes
CTB,CUT BANK,Yes,No,No,Yes
38S,DEER LODGE,Yes,No,No,Yes
H28,DEL BONITA,No,No,No,No
4U9,DELL,No,No,No,Yes
5UØ,DENTON,No,No,No,Yes
DLN,DILLON,Yes,No,No,Yes
M26,DRUMMOND,No,No,No,Yes
5U1,DUTTON,No,No,No,Yes
8U3,EAST POPLAR,No,No,No,No
97M,EKALAKA,Yes,No,No,Yes
EKS,ENNIS,Yes,No,No,Yes
88M,EUREKA,Yes,No,No,Yes
5U5,FAIRFIELD,No,No,No,Yes
5U6,FAIRVIEW,No,No,No,Yes
53U,FERNDALE,No,Yes,No,Yes
1S3,FORSYTH,No,No,No,Yes
79S,FORT BENTON,Yes,No,No,Yes
37S,FORT PECK,Yes,No,No,Yes
5U7,FORT SMITH,No,No,No,Yes
29S,GARDINER,No,No,No,Yes
5U8,GERALDINE,No,No,No,Yes
GGW,GLASGOW,Yes,No,No,Yes
GDV,GLENDIVE,Yes,No,No,Yes
GTF,GREAT FALLS,Yes,No,No,Yes
HRF,HAMILTON,Yes,No,No,Yes
ØØU,HARDIN,Yes,No,No,No
48S,HARLEM,No,No,No,Yes
HWQ,HARLOWTON,No,No,No,Yes
HVR,HAVRE,No,No,No,Yes
HLN,HELENA,Yes,No,No,No
6U5,HINSDALE,No,No,No,Yes
6U6,HOGELAND,No,No,No,No
SØ9,HOT SPRINGS,Yes,No,No,Yes
6U7,HYSHAM,No,No,No,Yes
JDN,JORDAN,No,No,No,Yes
GPI,KALISPELL (1),Yes,No,No,Yes
S27,KALISPELL (2),Yes,No,No,Yes
MT3,KNOX RIDGE,No,No,No,No
6S8,LAUREL,Yes,No,No,Yes
8ØS,LAVINA,No,No,No,Yes
LCØ,LEFT COULEE,No,No,No,No
LWT,LEWISTOWN,Yes,No,No,Yes
S59,LIBBY,Yes,No,No,Yes
S69,LINCOLN,Yes,Yes,No,Yes
LVM,LIVINGSTON,Yes,No,No,Yes
M75,MALTA,Yes,No,No,Yes
ØS1,MEADOW CREEK,No,No,Yes,No
MLS,MILES CITY,Yes,No,No,Yes
MSO,MISSOULA,Yes,No,No,Yes
SØØ,OPHEIM,No,No,No,Yes
UØ5,PHILIPSBURG,Yes,No,No,Yes
S34,PLAINS,Yes,No,No,Yes
PWD,PLENTYWOOD,No,No,No,Yes
8S1,POLSON,Yes,No,No,Yes
PO1,POPLAR,No,No,No,Yes
RED,RED LODGE,Yes,No,No,Yes
7U8,RICHEY,No,No,No,Yes
RCØ,ROCK CREEK,No,No,No,Yes
7SØ,RONAN,Yes,No,No,Yes
RPX,ROUNDUP,Yes,No,No,Yes
M42,RUSSIAN FLAT,No,No,Yes,No
8UØ,RYEGATE,No,No,No,Yes
8U1,SAND SPRINGS,No,No,No,Yes
8U2,SCHAFER MEADOWS,No,No,Yes,No
9S2,SCOBEY,Yes,No,No,Yes
23S,SEELEY LAKE (1),Yes,No,Yes,Yes
M35,SEELEY LAKE (2),Yes,No,No,Yes
SBX,SHELBY,No,No,No,Yes
SDY,SIDNEY,Yes,No,No,Yes
8U4,SPOTTED BEAR,No,No,No,No
52S,ST IGNATIUS,Yes,No,No,Yes
S64,STANFORD,Yes,No,No,Yes
32S,STEVENSVILLE,No,No,No,Yes
9S4,SUPERIOR,Yes,No,No,Yes
7S8,SWEETGRASS,No,No,No,Yes
8U6,TERRY,No,No,No,Yes
THM,THOMPSON FALLS,Yes,No,No,Yes
9S5,THREE FORKS,No,Yes,No,Yes
B7Ø,TIBER DAM,No,No,No,No
8U8,TOWNSEND,Yes,No,No,Yes
57S,TROY,No,No,No,Yes
9UØ,TURNER,No,No,No,Yes
RVF,TWIN BRIDGES,No,No,No,Yes
7S7,VALIER,No,No,No,Yes
4U7,WEST FORK,No,No,No,No
WYS,WEST YELLOWSTONE (1),Yes,Yes,No,No
7S6,WHITE SULPHUR SPRINGS,Yes,No,No,Yes
58S,WHITEFISH,No,Yes,No,Yes
9U1,WILSALL,No,No,No,No
9S7,WINIFRED,No,No,No,Yes
7S2,WINNETT,No,No,No,Yes
7S4,WISDOM,No,No,No,Yes
Ø2T,WISE RIVER,No,No,No,Yes
OLF,WOLF POINT,Yes,No,No,Yes
WHØ,WOODHAWK,No,No,No,No
