Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ABR,ABERDEEN REGIONAL,Yes,No,No,Yes
3A9,ARLINGTON,No,No,No,Yes
EFC,FOURCHE BELLE FOURCHE MUNICIPAL,Yes,No,Yes,Yes
6V5,BISON MUNICIPAL,No,No,Yes,Yes
BTN,FARRAR FIELD,No,No,No,Yes
BKX,BROOKINGS,Yes,No,No,Yes
9D2,HARDING COUNTY,No,No,No,Yes
7G9,CANTON,Yes,No,No,Yes
9V9,CHAMBERLAIN,No,No,No,Yes
8D7,CLARK COUNTY,No,No,No,Yes
D65,CORSICA,No,No,No,Yes
CUT,CUSTER COUNTY,Yes,No,No,Yes
3V0,CUSTER STATE PARK,No,No,No,Yes
6E5,WILDER FIELD,No,No,No,Yes
84D,BUTTE CHEYENNE EAGLE BUTTE,Yes,No,No,Yes
6V0,EDGEMONT,No,No,No,Yes
3W8,EUREKA,No,No,No,Yes
D07,FAITH,No,No,No,Yes
3FU,FAULKTON,No,No,No,Yes
4P3,FLANDREAU,No,No,No,Yes
SD2,LAKE COCHRANE,No,No,No,Yes
0D8,GETTYSBURG,Yes,No,No,Yes
9D1,FLYNN FIELD,Yes,No,No,Yes
2E6,GROTON MUNICIPAL AIRPORT,No,No,No,Yes
5T4,HERREID,No,No,No,Yes
9D0,HIGHMORE,No,No,No,Yes
HSR,SPRINGS HOT SPRINGS,Yes,No,No,Yes
9F8,HOVEN,No,No,No,No
8D9,HOWARD,No,No,No,Yes
HON,HURON REGIONAL,Yes,No,No,Yes
3Y7,ISABEL,No,No,No,Yes
5V8,KADOKA,No,No,No,No
6A6,KIMBALL,No,No,No,Yes
8D8,ANDES LAKE ANDES,No,No,No,No
LEM,LEMMON,Yes,No,No,Yes
MDS,MADISON,Yes,No,Yes,Yes
9V6,MARTIN,No,No,No,No
5P2,MCLAUGHLIN,No,No,No,Yes
1D1,MILBANK,No,No,No,Yes
MKA,MILLER,No,No,No,Yes
MHE,MITCHELL,Yes,No,No,No
MBG,MOBRIDGE,Yes,No,No,Yes
8F6,MURDO,Yes,No,Yes,Yes
7K7,SIOUX CITY GRAHAM FIELD,Yes,No,No,Yes
98D,ONIDA,Yes,No,No,Yes
8V3,PARKSTON,No,No,No,Yes
PHP,PHILIP,Yes,No,Yes,Yes
PIR,PIERRE,No,No,No,Yes
IEN,RIDGE OGLALA SIOUX,No,No,No,Yes
1D3,PLATTE,No,No,No,Yes
5P5,PRESHO,No,No,No,No
RAP,CITY RAPID CITY,Yes,No,No,Yes
1D8,REDFIELD,Yes,No,No,Yes
SUO,ROSEBUD SIOUX TRIBAL,No,No,No,Yes
FSD,FALLS JOE FOSS FIELD,Yes,No,No,Yes
8D3,SISSETON,No,No,No,Yes
SPF,BLACK HILLS/CLYDE ICE FIELD,Yes,No,No,Yes
Y03,SPRINGFIELD,No,No,No,Yes
49B,STURGIS,Yes,No,No,Yes
Y14,MARV SKIE/GREAT PLANES,Yes,No,No,Yes
D58,LAKE TIMBER LAKE,No,No,No,No
VMR,HAROLD-DAVIDSON FIELD,Yes,No,No,Yes
AGZ,WAGNER,Yes,No,No,Yes
6V4,WALL,No,No,No,Yes
ATY,WATERTOWN,Yes,No,No,Yes
1D7,SIGURD ANDERSON,No,No,No,Yes
4X4,SPRINGS WESSINGTON SPRINGS,No,No,No,Yes
7Q7,RIVER WHITE RIVER,No,No,No,Yes
ICR,WINNER,Yes,No,No,Yes
YKN,CHAN GURNEY FIELD,Yes,No,No,Yes
