Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ABI,ABILENE REGIONAL,No,No,No,No
67T,OLD HOPPE PLACE,No,No,No,No
T23,ALBANY MUNICIPAL,Yes,No,No,Yes
ALI,ALICE INTERNATIONAL,Yes,No,No,Yes
E38,ALPINE-CASPARIS MUNICIPAL,Yes,No,No,Yes
1E2,TERLINGUA RANCH,No,No,No,No
6R5,ALVIN AIRPARK,No,No,No,Yes
1E7,BUFFALO,No,No,No,Yes
1E4,PALO DURO,No,No,No,Yes
AMA,RICK HUSBAND AMARILLO INTERNATIONAL,No,No,No,Yes
H81,RIVER FALLS,No,No,No,No
TDW,TRADEWIND,Yes,No,No,Yes
T00,CHAMBERS COUNTY,No,No,No,Yes
E11,ANDREWS COUNTY,No,No,No,Yes
7R9,BAILES,No,No,No,Yes
81D,FLYIN TIGER,No,No,No,Yes
LBX,"LAKE JACKSON, TEXAS GULF COAST RGNL",No,No,No,No
T39,ARCHER CITY MUNICIPAL,No,No,No,No
GKY,ARLINGTON MUNICIPAL,Yes,No,No,Yes
T60,STONEWALL COUNTY,No,No,No,Yes
F44,ATHENS MUNICIPAL,Yes,No,No,Yes
ATA,HALL-MILLER MUNICIPAL,No,No,No,Yes
AUS,AUSTIN-BERGSTROM INTL,Yes,No,No,Yes
EDC,AUSTIN EXECUTIVE,No,No,No,No
HYI,SAN MARCOS RGNL,Yes,No,No,Yes
E30,BRUCE FIELD,No,No,No,Yes
BYY,BAY CITY RGNL,Yes,No,No,Yes
HPY,BAYTOWN,Yes,No,No,Yes
54T,R W J AIRPARK,No,No,No,Yes
5T0,WARD AIRPARK,No,No,No,No
BMT,BEAUMONT MUNICIPAL,No,No,No,Yes
BPT,"PORT ARTHUR, JACK BROOKS RGNL",Yes,No,No,No
BEA,BEEVILLE MUNICIPAL,Yes,No,No,Yes
TX2,CHASE FIELD INDUSTRIAL,No,No,No,Yes
06R,GRAWUNDER FIELD,No,No,No,Yes
E41,REAGAN COUNTY,No,No,No,Yes
BPG,BIG SPRING MC MAHON-WRINKLE,Yes,No,No,Yes
07R,BISHOP MUNICIPAL,No,No,No,Yes
F00,JONES FIELD,Yes,No,No,Yes
