Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
HEE,Helena/West Helena Thompson-Robbins,No,No,No,No
2A6,Holly Grove Holly Grove Municipal,No,No,No,No
PGR,Paragould Kirk Field,No,No,No,No
7M5,Ozark Ozark - Franklin County,No,No,No,No
12A,Greenbrier Arkavalley,No,No,No,No
BYH,Blytheville Arkansas International,No,No,No,No
4F8,Stephens Wilson,No,No,No,No
HBZ,Heber Springs Heber Springs Municipal,No,No,No,No
99A,Sherrill Smith International,No,No,No,No
7M6,Paris / Subiaco Paris Municipal,No,No,No,No
FSM,Fort Smith Fort Smith Regional,No,No,No,No
BPK,Mountain Home Baxter County Regional,No,No,No,No
HRO,Harrison Boone County,No,No,No,No
MXA,Manila Manila Municipal,No,No,No,No
LLQ,Monticello Monticello Municipal / Ellis Field,No,No,No,No
F43,El Dorado Downtown-Stevens Field,No,No,No,No
HOT,Hot Springs Memorial Field,No,No,No,No
FYV,Fayetteville Drake Field,No,No,No,No
SUZ,Benton Saline County Regional,No,No,No,No
BDQ,Morrilton Morrilton Municipal,No,No,No,No
MPJ,Morrilton Petit Jean Park,No,No,Yes,No
9M8,Sheridan Sheridan Municipal,No,No,No,No
4M2,Booneville Booneville Municipal,No,No,No,No
6M7,Marianna Marianna / Lee County - Steve Edwards Field,No,No,No,No
4F7,Prescott Kizer Field,No,No,No,No
TXK,Texarkana Texarkana Regional - Webb Field,No,No,No,No
SRC,Searcy Searcy Municipal,No,No,No,No
FCY,Forrest City Forrest City Municipal,No,No,No,No
BVX,Batesville Batesville Regional,No,No,No,No
4M8,Clarendon Clarendon Municipal,No,No,No,No
DEQ,Dequeen J. Lynn Helms Sevier County,No,No,No,No
H35,Clarksville Clarksville Municipal,No,No,No,No
M70,Pocahontas Pocahontas Municipal,No,No,Yes,No
LIT,Little Rock Little Rock National – Adams Field,No,No,No,No
AWM,West Memphis West Memphis Municipal,No,No,No,No
5M5,Decatur Crystal Lake,No,No,No,No
42A,Melbourne John Miller Field,No,No,No,No
55M,Star City Star City Municipal,No,No,No,No
M78,Malvern Malvern Municipal,No,No,No,No
ARG,Walnut Ridge Walnut Ridge Regional,No,No,No,No
CCA,Clinton Clinton Municipal,No,No,No,No
HKA,Blytheville Blytheville Municipal,No,No,No,No
7M4,Osceola Osceola Municipal,No,No,No,No
6M8,Marked Tree Marked Tree Municipal,No,No,No,No
6M2,Horseshoe Bend Horseshoe Bend Municipal,No,No,No,No
4M3,Carlisle Carlisle Municipal,No,No,No,No
CDH,Camden Harrell Field,No,No,No,No
4M1,Berryville Carroll County,No,No,No,No
ORK,North Little Rock North Little Rock Municipal,No,No,No,No
M19,Newport Newport Municipal,No,No,No,No
M65,Wynne Wynne Municipal,No,No,No,No
XNA,Fayetteville/Springdale Northwest Ark. Regional,No,No,No,No
MEZ,Mena Mena Intermountain Municipal,No,No,No,No
7M8,Rector Rector Municipal,No,No,No,No
4M9,Corning Corning Municipal,No,No,No,No
5M4,Fordyce Fordyce Municipal,No,No,No,No
0M0,Dumas Billy Free Municipal,No,No,No,No
DRP,Colt Delta Regional,No,No,No,No
CXW,Conway Cantrell Field,No,No,No,No
FLP,Flippin Marion County Regional,No,No,No,No
VBT,Bentonville Bentonville Municipal/Louise Thaden Field,No,No,No,No
0R6,Hampton Hampton Municipal,No,No,No,No
RUE,Russellville Russellville Regional,No,No,No,No
M73,Almyra Almyra Municipal,No,No,No,No
3M0,Lakeview Gaston’S Resort,No,No,No,No
4M5,Dermott Dermott Municipal,No,No,No,No
PBF,Pine Bluff Grider Field,No,No,No,No
M32,Lake Village Lake Village Municipal,No,No,No,No
H34,Huntsville Huntsville Municipal,No,No,No,No
AGO,Magnolia Magnolia Municipal,No,No,No,No
M27,Waldron Waldron Municipal,No,No,No,No
3M9,Warren Warren Municipal,No,No,No,No
SLG,Siloam Springs Smith Field,No,No,No,No
M60,Augusta Woodruff County,No,No,No,No
7M1,Mcgehee Mcgehee Municipal,No,No,No,No
6MO,Hazen Hazen Municipal,No,No,No,No
7M2,Mountian View Wilcox Memorial Field,No,No,No,No
M77,Nashville Howard County,No,No,No,No
ELD,El Dorado South Arkansas Regional,No,No,No,No
7M7,Piggott Piggott Municipal,No,No,No,No
5M1,Dewitt Dewitt Municipal,No,No,No,No
7M3,Mount Ida Bearce,No,No,No,No
ROG,Rogers Rogers Municipal - Carter Field,No,No,No,No
ASG,Springdale Springdale Municipal,No,No,No,No
M36,Brinkley Frank Federer Memorial,No,No,No,No
5M8,Gurdon Gurdon Lowe Field,No,No,No,No
M74,Bald Knob Bald Knob Municipal,No,No,No,No
37T,Calico Rock Calico Rock – Izard County,No,No,No,No
CRT,Crossett Z. M. “Jack” Stell Field,No,No,No,No
4A5,Marshall Searcy County,No,No,No,No
32A,Danville Danville Municipal,No,No,No,No
7M9,Salem Salem,No,No,No,No
JBR,Jonesboro Jonesboro Municipal,No,No,No,No
