Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
AKO,Colorado Plains Regional Airport,Yes,No,No,No
ALS,San Luis Valley Regional Airport,Yes,No,No,No
ASE,Aspen/Pitkin County Airport,Yes,No,No,No
Ø5V,Blanca Airport,No,No,No,No
BDU,Boulder Municipal Airport,Yes,No,No,Yes
7V5,Brush Municipal Airport,No,No,No,Yes
AEJ,Central Colorado Regional Airport BUENA,Yes,No,No,No
ITR,Kit Carson County Airport,Yes,No,No,No
5V4,Calhan Airport,No,No,No,No
1V6,Fremont County Airport CAÑON,Yes,No,No,No
1V8,Leach Airport,No,No,No,No
COS,Colorado Springs Municipal CO,Yes,No,No,Yes
FLY,Meadow Lake Airport CO,Yes,No,No,No
CEZ,Cortez Municipal Airport,Yes,No,No,No
CAG,Craig-Moffat County Airport,Yes,No,No,No
99V,Crawford Airport,Yes,No,No,Yes
C24,Mineral County Memorial Airport,Yes,No,No,Yes
RCV,Astronaut Kent Rominger Airport DEL,Yes,No,No,No
AJZ,Blake Field,Yes,No,No,No
D17,Westwinds Airpark,No,No,No,No
APA,Centennial Airport,Yes,No,No,Yes
DEN,Denver International Airport,Yes,No,No,No
CFO,Colorado Air & Space Port,Yes,No,No,No
BJC,Rocky Mountain Metropolitan,Yes,No,No,Yes
8V6,Dove Creek Airport DOVE,No,No,No,Yes
ØØC,Animas Airpark,Yes,No,No,No
DRO,Durango/La Plata County Airport,Yes,No,No,No
9V7,Eads Airport,No,No,No,Yes
EGE,Eagle County Regional Airport,Yes,No,No,No
CO4,Colorado Springs East Airport,Yes,No,No,No
EIK,Erie Municipal Airport,Yes,No,No,No
FMM,F M M Fort Morgan Municipal Airport FORT,Yes,No,No,No
GWS,Glenwood Springs Municipal,Yes,No,No,No
GNB,Emily Warner Field - Grand Cty. Airport,Yes,No,No,No
GJT,Grand Junction Regional GRAND,Yes,No,No,No
11V,Easton/Valley View Airport,No,No,No,No
GXY,Greeley-Weld County Airport,Yes,No,No,No
GUC,Gunnison-Crested Butte Regional,Yes,No,No,Yes
17V,Haxtun Municipal Airport,No,No,No,No
HDN,Yampa Valley Regional Airport,Yes,No,No,No
KØ8,Holly Airport,No,No,No,Yes
HEQ,Holyoke Municipal Airport,Yes,No,No,Yes
18V,Platte Valley Airpark,No,No,No,No
7V8,Julesburg Municipal Airport,No,No,No,No
2ØV,McElroy Field,Yes,No,No,Yes
LHX,La Junta Municipal Airport LA,Yes,No,No,No
LAA,Southeast Colorado Regional Airport,Yes,No,No,No
7V9,7 V 9 Las Animas - Bent County Airport LAS,No,No,No,No
Ø7V,Cuchara Valley Airport LA,No,No,No,Yes
LXV,Lake County Airport,Yes,No,No,No
LIC,Limon Municipal Airport,Yes,No,No,Yes
LMO,L M O Vance Brand Municipal Airport,Yes,No,No,Yes
FNL,F N L Northern Colorado Regional Airport,Yes,No,No,No
EEO,Meeker Airport - Coulter Field,Yes,No,No,Yes
MVI,M V I Monte Vista Municipal MONTE,Yes,No,No,Yes
MTJ,Montrose Regional Airport,Yes,No,No,Yes
AIB,Hopkins Field,Yes,No,No,No
CO1,Lake Meredith Seaplane Base,No,No,No,No
PSO,Stevens Field PAGOSA,Yes,No,No,No
7V2,North Fork Valley Airport,Yes,No,Yes,No
PUB,Pueblo Memorial Airport,Yes,No,No,No
13R,Kenney Reservoir Seaplane Base,No,No,No,No
4VØ,Rangely Airport,No,No,No,No
RIL,Rifle Garfield County Airport,Yes,No,No,No
Ø4V,Saguache Municipal Airport,No,No,No,No
ANK,Harriet Alexander Airport,Yes,No,No,No
8V7,Springfield Municipal,Yes,No,No,No
SBS,S B S Bob Adams Field STEAMBOAT,Yes,No,No,No
STK,Sterling Municipal Airport,Yes,No,Yes,No
TEX,Telluride Regional Airport,Yes,No,No,No
TAD,Perry Stokes Airport,Yes,No,No,No
33V,Walden-Jackson County Airport,No,No,No,Yes
4V1,Spanish Peaks Airfield,Yes,No,No,No
CØ8,Silver West Airport,No,No,Yes,Yes
2V5,Wray Municipal Airport,Yes,No,No,No
2V6,Yuma Municipal Airport,Yes,No,No,Yes
