Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
F47,Saint George Island Airport,No,No,No,No
X04,Orlando Apopka Airport,Yes,No,No,No
X06,Arcadia Municipal Airport,No,No,No,No
0J8,Flying Ten Airport,No,No,No,Yes
AVO,Avon Park Executive Airport,Yes,No,No,Yes
BOW,Bartow Municipal Airport,Yes,No,No,Yes
X10,Belle Glade State Municipal Airport,No,No,No,Yes
F95,Calhoun County Airport,No,No,No,No
BCT,Boca Raton Airport,Yes,No,No,Yes
1J0,Tri-County Airport,No,No,No,Yes
BKV,Brooksville - Tampa Bay Regional Airport,Yes,No,No,Yes
X05,Pilot Country Airport,No,No,No,No
X13,Carrabelle - Thompson Airport,No,No,No,Yes
CDK,George T Lewis Airport,No,No,No,Yes
CLW,Clearwater Air Park,Yes,No,No,Yes
2IS,Airglades Airport,No,No,No,Yes
CEW,Bob Sikes Airport,Yes,No,No,Yes
CTY,Cross City Airport,Yes,No,No,Yes
CGC,Crystal River - Captain Tom Davis Field,Yes,No,No,Yes
DAB,Daytona Beach International Airport,Yes,No,No,Yes
54J,Defuniak Springs Airport,Yes,No,No,Yes
1J6,Bob Lee Flight Strip,No,No,No,No
DED,DeLand Municipal - Sidney H Taylor Field,Yes,No,No,Yes
DTS,Destin Executive Airport,Yes,No,No,Yes
X35,Marion County Airport,Yes,No,No,Yes
X36,Buchan Airport,No,No,No,Yes
X55,Mid Florida at Eustis Airport,Yes,No,No,Yes
X01,Everglades Airpark,No,No,No,Yes
FHB,Fernandina Beach Municipal Airport,Yes,No,No,Yes
DT1,Downtown Fort Lauderdale Heliport,No,No,No,Yes
FXE,Fort Lauderdale Executive Airport,Yes,No,No,Yes
FLL,Fort Lauderdale/Hollywood International Airport,Yes,No,No,Yes
FMY,Page Field,Yes,No,No,Yes
RSW,Southwest Florida International Airport,Yes,No,No,Yes
FPR,Treasure Coast International Airport,Yes,No,No,Yes
GNV,Gainesville Regional Airport,Yes,No,No,Yes
6J8,Oak Tree Landing Airport,No,No,No,No
01J,Hilliard Airpark,No,No,No,Yes
F15,Halifax River Sea Plane Base,No,No,No,No
HWO,North Perry Airport,Yes,No,No,Yes
X51,Miami Homestead General Aviation Airport,Yes,No,No,Yes
IMM,Immokalee Regional Airport,Yes,No,No,Yes
X58,Indiantown Airport,No,No,No,Yes
INF,Inverness Airport,Yes,No,No,Yes
VQQ,Cecil Airport,Yes,No,No,Yes
HEG,Herlong Recreational Airport,Yes,No,No,Yes
CRG,Jacksonville Executive At Craig Airport,Yes,No,No,Yes
JAX,Jacksonville International Airport,Yes,No,No,Yes
EYW,Key West International Airport,Yes,No,No,Yes
42J,Keystone Airpark,Yes,No,No,Yes
X14,La Belle Municipal Airport,Yes,No,No,Yes
LCQ,Lake City Gateway Airport,Yes,No,No,Yes
X25,Chalet Suzanne Air Strip,No,No,No,No
X07,Lake Wales Municipal Airport,Yes,No,No,Yes
LAL,Lakeland Linder International Airport,Yes,No,No,Yes
X49,South Lakeland Airport,No,No,No,Yes
LEE,Leesburg International Airport,Yes,No,No,No
24J,Suwannee County Airport,Yes,No,No,Yes
MTH,The Florida Keys Marathon International Airport,Yes,No,No,Yes
MKY,Marco Island Executive Airport,Yes,No,No,No
MAI,Marianna Municipal Airport,Yes,No,No,Yes
MLB,Melbourne International Airport,Yes,No,No,Yes
COI,Merritt Island Airport,Yes,No,No,Yes
TNT,Dade-Collier Training and Transition Airport,No,No,No,No
TMB,Miami Executive Airport,Yes,No,No,No
MIA,Miami International Airport,Yes,No,No,Yes
X44,Miami Seaplane Base,No,No,No,Yes
OPF,Miami-Opa Locka Executive Airport,Yes,No,No,No
2R4,Peter Prince Field,Yes,No,No,Yes
APF,Naples Municipal Airport,Yes,No,No,No
1J9,Fort Walton Beach Airport,No,No,No,Yes
X50,Massey Ranch Airpark,Yes,No,No,Yes
EVB,New Smyrna Beach Municipal Airport,Yes,No,No,Yes
OCF,Ocala International-Jim Taylor Field,Yes,No,No,Yes
OBE,Okeechobee County Airport,Yes,No,No,Yes
