Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
15J,Cook County Airport,No,No,No,No
ABY,SouthwestGeorgia Regional,No,No,No,No
AMG,Bacon County,No,No,No,No
ACJ,Jimmy Carter Regional,No,No,No,No
75J,Turner County,No,No,No,No
AHN,Athens /Ben Epps,No,No,No,No
Fie,Falcon,No,No,No,No
RYY,McCollum Field,No,No,No,No
CVC,Covington Municipal,No,No,No,No
PDK,Peachtree,No,No,No,No
FTY,BrownField,No,No,No,No
ATL,Jackson Atlanta Int'l,No,No,No,No
CCO,Coweta County,No,No,No,No
PUJ,Paulding Northwest Atlanta Airport,No,No,No,No
AGS,AugustaRegional atBushField,No,No,No,No
DNL,Daniel Field,No,No,No,No
BGE,Decatur Co.Ind. Air Park,No,No,No,No
BHC,BaxleyMunicipal,No,No,No,No
DZJ,Blairsville,No,No,No,No
BIJ,Early County,No,No,No,No
BQK,Golden Isles,No,No,No,No
82A,VISTA Marion County,No,No,No,No
6A1,ButlerMunicipa l,No,No,No,No
CZL,Tom B. David Field,No,No,No,No
CXU,Mitchell County,No,No,No,No
18A,Hart,No,No,No,No
CNI,Cherokee County Regional,No,No,No,No
VPC,Cartersville,No,No,No,No
Fie,Cornelius Moore,No,No,No,No
CWV,Evans County,No,No,No,No
48A,Cochran,Yes,No,No,No
CSG,Columbus,No,No,No,No
CKF,Cordele,No,No,No,No
AJR,Habersham County,No,No,No,No
25J,Lower Chattahoochee Regional,No,No,No,No
DNN,Dalton Municipal,No,No,No,No
16J,Dawson Municipal,No,No,No,No
DQH,Douglas Municipal,No,No,No,No
DBN,"W. H. ""Bud"" Barron",No,No,No,No
EZM,Heart of Georgia Regional,No,No,No,No
EBA,PatzField,No,No,No,No
49A,Gilmer County,No,No,No,No
FZG,Fitzgerald Municipal,No,No,No,No
3J6,Davis Field,No,No,No,No
GVL,Lee Gilmer Memorial,No,No,No,No
6A2,Griffin - Spalding County,No,No,No,No
AZE,Hazlehurst,No,No,No,No
HOE,Homerville,No,No,No,No
JZP,Pickens County,Yes,No,No,No
JCA,JacksonCounty,No,No,No,No
JES,Wayne County,No,No,No,No
337,122.8 GA,No,No,No,No
LGC,Callaway,Yes,No,No,No
316,Ga.,No,No,No,No
2J3,Louisville Municipal,No,No,No,No
MAC,Macon Downtown,No,No,No,No
MCN,Middle Georgia Regional,No,No,No,No
52A,Madison Municipal,No,No,No,No
MQW,Wheeler,No,No,No,No
MQW,Telfair-Wheeler,No,No,No,No
MLJ,Baldwin County,No,No,No,No
2J5,Millen,No,No,No,No
D73,Cy Nunnally Memorial Airport,No,No,No,No
53A,"Dr. C. P. Savage, Sr.",No,No,No,No
MGR,Moultrie Municipal,No,No,No,No
MUL,Spence Field,No,No,No,No
4J1,Brantley County,No,No,No,No
4J2,Berrien County,No,No,No,No
PXE,Houston County,No,No,No,No
4J5,Brooks County,No,No,No,No
RVJ,Swinton Smith Field at Reidsville Municipal,No,No,No,No
RMG,J.H. Towers Field,No,No,No,No
OKZ,Kaolin Field,No,No,No,No
SAV,Hilton Head Int'l,No,No,No,No
4J8,Treutlen County,No,No,No,No
TBR,Bulloch County,No,No,No,No
SSI,SIMONS ISLAND St Simons Island,No,No,No,No
SBO,East Georgia Regional,No,No,No,No
JYL,Plantation Airpark,No,No,No,No
SYV,Sylvester,No,No,No,No
OPN,Upson County,No,No,No,No
TVI,Thomasville Regional,No,No,No,No
HQU,McDuffie Regional,No,No,No,No
TMA,Henry Tift Myers,No,No,No,No
TOC,R.G. LeTourneau Field,No,No,No,No
VLD,Valdosta Regional,No,No,No,No
VDI,Vidalia Regional,No,No,No,No
5A9,SPRINGS Roosevelt Memorial,No,No,No,No
5A2,ROBINS Warner Robins Air Park,No,No,No,No
IIY,Wilkes County,No,No,No,No
AYS,Ware County,No,No,No,No
BXG,Burke County,No,No,No,No
WDR,Barrow County,No,No,No,No
WDR,Barrow County,No,No,No,No
65J,Wrens Memorial,No,No,No,No
