Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
7C5,MONTEZUMA SIG FIELD AIRPORT,No,No,No,No
1Y3,"MOUNT AYR MUNICIPAL - JUDGE LEWIS FIELD, AIRPORT",No,No,No,No
6K9,KEOSAUQUA MUNICIPAL AIRPORT,No,No,No,No
CRZ,CORNING MUNICIPAL AIRPORT,No,No,No,No
GCT,GUTHRIE COUNTY REGIONAL AIRPORT,No,No,No,No
3Y4,WOODBINE MUNICIPAL AIRPORT,No,No,No,No
Y46,BEDFORD MUNICIPAL AIRPORT,No,No,No,No
ADU,AUDUBON COUNTY AIRPORT,No,No,No,No
Y43,"ANITA MUNICIPAL-KEVIN BURKE MEMORIAL, FIELD AIRPORT",No,No,No,No
MEY,"MAPLETON - JAMES G WHITING MEMORIAL, FIELD AIRPORT",No,No,No,No
2VA,"LARCHWOOD - ZANGGER VINTAGE AIRPARK, AIRPORT",No,No,No,No
IDG,IDA GROVE MUNICIPAL AIRPORT,No,No,No,No
2Y4,ROCKWELL CITY MUNICIPAL AIRPORT,No,No,No,No
OQW,MAQUOKETA MUNICIPAL AIRPORT,No,No,No,No
8C4,"TIPTON MUNICIPAL - MATHEWS MEMORIAL, AIRPORT",No,No,No,No
4C8,ALBIA MUNICIPAL AIRPORT,No,No,No,No
4D8,MILFORD MUNICIPAL - FULLER AIRPORT,No,No,No,No
C11,AMANA AIRPORT,No,No,No,No
8C5,TOLEDO MUNICIPAL AIRPORT,No,No,No,No
0Y6,LAKE MILLS MUNICIPAL AIRPORT,No,No,No,No
8Y8,PELTZ FIELD AIRPORT,No,No,No,No
0K7,HUMBOLDT MUNICIPAL AIRPORT,No,No,No,No
8C6,TRAER MUNICIPAL AIRPORT,No,No,No,No
4C7,ACKLEY MUNICIPAL AIRPORT,No,No,No,No
27P,ELDORA AIRPORT,No,No,No,No
Y01,WAUKON MUNICIPAL AIRPORT,No,No,No,No
8C2,SULLY MUNICIPAL AIRPORT,No,No,No,No
EAG,EAGLE GROVE MUNICIPAL AIRPORT,No,No,No,No
I27,ELKADER AIRPORT,No,No,No,No
0F3,SPIRIT LAKE MUNICIPAL AIRPORT,No,No,No,No
CJJ,"CRESCO MUNICIPAL - ELLEN CHURCH FIELD, AIRPORT",No,No,No,No
6K7,GRUNDY CENTER MUNICIPAL AIRPORT,No,No,No,No
7C3,MONONA MUNICIPAL AIRPORT,No,No,No,No
IA8,DYERSVILLE AREA AIRPORT,No,No,No,No
Y48,BELMOND MUNICIPAL AIRPORT,No,No,No,No
K98,ALLISON MUNICIPAL AIRPORT,No,No,No,No
1Y5,NEW HAMPTON MUNICIPAL AIRPORT,No,No,No,No
5D2,NORTHWOOD MUNICIPAL AIRPORT,No,No,No,No
D02,OSAGE MUNICIPAL AIRPORT,No,No,No,No
1Y9,PAULLINA MUNICIPAL AIRPORT,No,No,No,No
GFZ,GREENFIELD MUNICIPAL AIRPORT,No,No,No,No
ICL,"CLARINDA MUNICIPAL - SCHENCK FIELD, IOWA AIRPORT",No,No,No,No
LWD,LAMONI MUNICIPAL AIRPORT,No,No,No,No
RRQ,ROCK RAPIDS MUNICIPAL AIRPORT,No,No,No,No
4K6,BLOOMFIELD MUNICIPAL AIRPORT,No,No,No,No
SKI,SAC CITY MUNICIPAL AIRPORT,No,No,No,No
CNC,CHARITON MUNICIPAL AIRPORT,No,No,No,No
EFW,JEFFERSON MUNICIPAL AIRPORT,No,No,No,No
TZT,"BELLE PLAINE MUNICIPAL - MANSFIELD TIPPIE, AIRPORT",No,No,No,No
3Y3,WINTERSET MUNICIPAL AIRPORT,No,No,No,No
FSW,FORT MADISON MUNICIPAL AIRPORT,No,No,No,No
EGQ,EMMETSBURG MUNICIPAL AIRPORT,No,No,No,No
ISB,SIBLEY MUNICIPAL AIRPORT,No,No,No,No
C27,MANCHESTER MUNICIPAL AIRPORT,No,No,No,No
3Y2,"WEST UNION MUNICIPAL - GEORGE L SCOTT, AIRPORT",No,No,No,No
POH,POCAHONTAS MUNICIPAL AIRPORT,No,No,No,No
CAV,CLARION MUNICIPAL AIRPORT,No,No,No,No
C25,WAVERLY MUNICIPAL AIRPORT,No,No,No,No
C17,MARION AIRPORT,No,No,No,No
DSM,DES MOINES INTERNATIONAL AIRPORT,No,No,No,No
IKV,ANKENY REGIONAL AIRPORT,No,No,No,No
CBF,COUNCIL BLUFFS MUNICIPAL AIRPORT,No,No,No,No
IOW,IOWA CITY MUNICIPAL AIRPORT,No,No,No,No
AMW,AMES MUNICIPAL AIRPORT,No,No,No,No
CID,EASTERN IOWA AIRPORT,No,No,No,No
SUX,"SIOUX GATEWAY/BRIG GEN BUD DAY FIELD, IOWA AIRPORT",No,No,No,No
DVN,DAVENPORT MUNICIPAL AIRPORT,No,No,No,No
SPW,SPENCER MUNICIPAL AIRPORT,No,No,No,No
DBQ,DUBUQUE REGIONAL AIRPORT,No,No,No,No
OTM,OTTUMWA REGIONAL AIRPORT,No,No,No,No
FFL,FAIRFIELD MUNICIPAL AIRPORT,No,No,No,No
SXK,SIOUX COUNTY REGIONAL AIRPORT,No,No,No,No
ALO,WATERLOO REGIONAL AIRPORT,No,No,No,No
MIW,MARSHALLTOWN MUNICIPAL AIRPORT,No,No,No,No
PEA,PELLA MUNICIPAL AIRPORT,No,No,No,No
MUT,MUSCATINE MUNICIPAL AIRPORT,No,No,No,No
EOK,KEOKUK MUNICIPAL AIRPORT,No,No,No,No
CWI,CLINTON MUNICIPAL AIRPORT,No,No,No,No
TNU,"NEWTON MUNICIPAL-EARL JOHNSON FIELD, IOWA, AIRPORT",No,No,No,No
CIN,"CARROLL MUNICIPAL - ARTHUR N. NEU AIRPORT, IOWA",No,No,No,No
MCW,MASON CITY MUNICIPAL AIRPORT,No,No,No,No
IIB,"INDEPENDENCE MUNICIPAL - JAMES H, CONNELL FIELD AIRPORT",No,No,No,No
AIO,ATLANTIC MUNICIPAL AIRPORT,No,No,No,No
BRL,SOUTHEAST IOWA REGIONAL AIRPORT,No,No,No,No
FOD,FORT DODGE REGIONAL AIRPORT,No,No,No,No
SLB,STORM LAKE MUNICIPAL AIRPORT,No,No,No,No
CCY,NORTHEAST IOWA REGIONAL AIRPORT,No,No,No,No
PRO,PERRY MUNICIPAL AIRPORT,No,No,No,No
AWG,WASHINGTON MUNICIPAL AIRPORT,No,No,No,No
DEH,DECORAH MUNICIPAL AIRPORT,No,No,No,No
LRJ,LE MARS MUNICIPAL AIRPORT,No,No,No,No
MXO,MONTICELLO REGIONAL AIRPORT,No,No,No,No
