Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
06U,JACKPOT NV,Yes,No,No,Yes
0S5,NEZ PERCE,No,No,No,Yes
0U0,LANDMARK USFS,No,No,Yes,No
0U1,WARM SPRINGS,No,No,Yes,No
0U2,COPPER BASIN,No,No,No,No
0U3,MAHONEY CREEK USFS,No,No,No,No
0U7,HOLLOW TOP,No,No,No,No
0U8,MAY,No,No,No,No
0U9,MIDVALE,No,No,No,No
I08,CABIN CREEK USFS,No,No,No,No
12ID,FLYING BRANCH,No,No,No,Yes
I45,WAPSHILLA,No,No,No,No
I92,REED RANCH,No,No,Yes,No
1S1,PORTHILL,No,No,No,Yes
1S6,PRIEST RIVER,No,No,No,Yes
1S7,SLATE CREEK,No,No,No,No
1U0,BEAR TRAP,No,No,No,No
1U1,MOOSE CREEK USFS,No,No,No,No
1U2,MUD LAKE,No,No,No,Yes
1U3,MURPHY,No,No,No,Yes
1U4,NEW MEADOWS ,No,No,No,Yes
1U6,OAKLEY,No,No,No,Yes
1U7,PARIS/BEAR LAKE CO,Yes,No,No,Yes
1U9,PINE,No,No,No,Yes
24K,KRASSELUSFS,No,No,No,No
25U,MEMALOOSE USFS,No,No,No,No
2U0,PRAIRIE,No,No,Yes,No
2U4,ROCKFORD,No,No,No,Yes
2U5,SHEARER USFS,No,No,No,No
2U7,STANLEY,No,No,No,Yes
2U8,THOMAS CREEK,No,No,No,No
32S,STEVENSVILLE MT,No,No,No,Yes
3U0,MURPHY HOT SPRINGS,No,No,No,No
3U1,WARREN USFS,No,No,No,Yes
3U2,JOHNSON CREEK,Yes,No,Yes,Yes
46U,ALPINE,No,No,No,Yes
50S,PARMA,No,No,No,Yes
52U,WEATHERBY USFS,No,No,No,No
55H,ATLANTA,No,No,No,No
65S,BONNERS FERRY,Yes,No,No,Yes
66S,CAVANAUGH BAY,Yes,No,No,Yes
67S,PRIEST LAKE USFS,No,No,No,Yes
75C,OROGRANDE USFS,No,No,No,No
78U,SNAKE RIVER SPB,No,No,No,Yes
85U,SOLDIER BAR USFS,No,No,No,No
A05,DIXIE USFS,No,No,No,No
AOC,ARCO-BUTTE CO,No,No,No,Yes
BOI,BOISE AIRPORT,Yes,No,No,Yes
BYI,BURLEY,No,No,No,Yes
C48,WILSON BAR-USFS,No,No,No,No
C53,LOWER LOON,No,No,No,No
C64,CAYUSE CREEK USFS,No,No,No,No
MLD,MALAD,Yes,No,No,Yes
COE,COEUR D'ALENE,Yes,No,No,Yes
D28,TANGLEFOOT SPB,No,No,No,Yes
D47,COUGAR RANCH IDF&G,No,No,No,No
DIJ,DRIGGS,Yes,No,No,Yes
EUL,CALDWELL,Yes,No,No,Yes
GIC,GRANGEVILLE,Yes,No,No,Yes
GNG,GOODING,Yes,No,No,Yes
HRF,HAMILTON MT,No,No,No,Yes
I08,CABIN CREEK USFS,No,No,No,No
I45,WAPSHILLA,No,No,No,No
I92,REED RANCH,No,No,Yes,No
ID28,MACKAY BAR,No,No,No,No
ID74,SULPHUR CREEK,No,No,No,Yes
ID8,MARBLE CREEK,No,No,No,No
