Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
K78,Abilene Municipal,No,No,No,No
ANY,Anthony Municipal -,No,No,No,No
2K8,Argonia Municipal,No,No,No,No
K58,"ASHLAND, Harold Krier Field",No,No,No,No
K59,Amelia Earhart Airport,No,No,No,No
ADT,Rawlins County Airport,No,No,No,No
3AU,Augusta Municipal,No,No,No,No
K64,Vinland Valley Aerodrome,No,No,No,No
07S,Beaumont Hotel,No,No,No,No
RPB,Belleville Municipal Airport,No,No,No,No
K61,Moritz Memorial,No,No,No,No
1K1,Lloyd Stearman Field,No,No,No,No
5K0,Bressler Field,No,No,No,No
8K0,Bucklin Airport,No,No,No,No
UKL,Coff ey County Airport,No,No,No,No
01K,Caldwell Municipal Airport,No,No,No,No
CNU,Martin Johnson Airport,No,No,No,No
8K8,Cimarron Municipal Airport,No,No,No,No
CYW,Clay Center Municipal Airport,No,No,No,No
CFV,Coff eyville Municipal,No,No,No,No
CBK,Shalz Field,Yes,No,No,No
3K8,Comanche County Airport,No,No,No,No
CNK,Blosser Municipal Airport,No,No,No,No
9K0,Cottonwood Falls Airport,No,No,No,No
K63,"COUNCIL GROVE, Council Grove Municipal Airport",No,No,No,No
K65,Dighton Airport,No,No,No,No
DDC,Dodge City Regional,No,No,No,No
EQA,Captain Jack Thomas Airport,No,No,No,No
9K6,Patty Field,No,No,No,No
EHA,Elkhart-Morton County Airport,No,No,No,No
1K6,Ellinwood Municipal,No,No,No,No
9K7,Ellsworth Municipal,No,No,No,No
EMP,Emporia Municipal Airport,No,No,No,No
13K,Lt. William Milliken Airport,No,No,No,No
AAF,Sherman,No,No,No,No
FSK,Fort Scott,No,No,No,No
18K,Fowler Airport,No,No,No,No
1K7,Fredonia Airport,No,No,No,No
GCK,Garden City Regional,No,No,No,No
K34,Gardner Municipal Airport,No,No,No,No
K68,Garnett Municipal Airport,No,No,No,No
GLD,Renner Field,No,No,No,No
GBD,Great Bend Municipal Airport,No,No,No,No
9KS,Greensburg Municipal Airport,No,No,No,No
8K2,Harper Municipal Airport,No,No,No,No
HYS,Hays Regional Airport,No,No,No,No
HRU,Herington Regional Airport,No,No,No,No
K87,Hiawatha Municipal Airport,No,No,No,No
HLC,Hill City Municipal Airport,No,No,No,No
M66,"HILLSBORO, Alfred Schroeder Field",No,No,No,No
K91,Horton Municipal,No,No,No,No
1F5,Hoxie-Sheridan County Airport,No,No,No,No
HQG,Hugoton Municipal Airport,No,No,No,No
HUT,"HUTCHINSON, Hutchinson Regional Airport",No,No,No,No
IDP,Independence Municipal Airport,No,No,No,No
30K,Ingalls Municipal Airport,No,No,No,No
K88,Allen County Airport,No,No,No,No
K79,Jetmore Municipal Airport,No,No,No,No
JHN,Stanton County Municipal Airport,No,No,No,No
3JC,Freeman Field,No,No,No,No
9K8,Clyde Cessna Field,No,No,No,No
33K,Kinsley Municipal Airport,No,No,No,No
4KS,Walz Airport,No,No,No,No
K94,Rush County Airport,No,No,No,No
36K,Kearny County Airport,No,No,No,No
LQR,Pawnee County Airport,No,No,No,No
LWC,Lawrence Municipal Airport,No,No,No,No
3K7,Mark Hoard Memorial Airport,No,No,No,No
LBL,Mid-America Regional Airport,No,No,No,No
K71,Lincoln Municipal Airport,No,No,No,No
38K,Lucas Airport,No,No,No,Yes
39K,Versaair Services Airport,No,No,No,No
LYO,Lyons-Rice County Airport,No,No,No,No
MHK,Manhattan Regional Airport,No,No,No,No
TKO,Mankato Airport,No,No,No,No
43K,Marion Municipal Airport,No,No,No,No
MYZ,Marysville Municipal Airport,No,No,No,No
MPR,McPherson Airport,No,No,No,No
MEJ,Meade Municipal Airport,No,No,No,No
K51,Medicine Lodge Airport,No,No,No,No
45K,Minneapolis City-County Airport,No,No,No,No
2K6,Elk County Airport,No,No,No,No
K17,Montezuma Municipal Airport,No,No,No,No
47K,Moundridge Municipal,No,No,No,No
2K7,Neodesha Municipal Airport,No,No,No,No
48K,Ness City Municipal Airport,No,No,No,No
EWK,Newton City - County Airport,No,No,No,No
NRN,Norton Municipal Airport,No,No,No,No
49K,Norwich Airport,No,No,No,No
OEL,Oakley Municipal,No,No,No,Yes
