Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
BRY,Bardstown,Yes,No,No,No
BWG,BOWLING GREEN,No,No,No,No
1M9,Lake Barkley State Park,Yes,No,No,No
AAS,CAMPBELLSVILLE,Yes,No,No,Yes
I96,COLUMBIA,No,No,No,No
8M7,DAWSON SPRINGS,No,No,No,No
EKX,Elizabethtown,No,No,No,No
2I3,FALLS-OF-ROUGH,Yes,No,No,Yes
K62,FALMOUTH,No,No,No,No
FGX,FLEMINGSBURG,Yes,No,No,No
FFT,FRANKFORT,No,No,No,No
27K,GEORGETOWN,Yes,No,No,No
M34,GILBERTSVILLE,Yes,No,No,No
GLW,GLASGOW,Yes,No,No,No
M21,GREENVILLE,Yes,No,No,No
I93,HARDINSBURG,No,No,No,Yes
I35,HARLAN,Yes,No,No,No
7K4,HARTFORD,Yes,No,Yes,No
K2O,HAZARD,Yes,No,No,Yes
EHR,HENDERSON,Yes,No,No,No
HVC,HOPKINSVILLE,Yes,No,No,No
JKL,JACKSON,No,No,No,Yes
K24,JAMESTOWN,Yes,No,No,No
M20,LEITCHFIELD,Yes,No,No,No
KY8,LEWISPORT,No,No,No,No
LEX,LEXINGTON,No,No,No,Yes
LOZ,LONDON,Yes,No,No,No
LOU,LOUISVILLE,Yes,No,No,Yes
SDF,LOUISVILLE,Yes,No,No,No
2I0,MADISONVILLE,Yes,No,No,No
5M9,MARION,No,No,No,No
1A6,MIDDLESBORO,No,No,No,No
EKQ,MONTICELLO,Yes,No,No,No
M97,MOREHEAD,No,No,No,No
IOB,MOUNT STERLING,Yes,No,No,No
CEY,MURRAY,Yes,No,No,No
PAH,PADUCAH,No,No,No,No
18I,PINE KNOT,No,No,No,No
SME,,Yes,No,No,Yes
