Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
BWI,Washington International,No,No,No,No
W29,Bay Bridge Airport,No,No,No,Yes
1N5,Bennett Airport,No,No,No,No
571,Dorchester Regional Airport,No,No,No,No
DMW,Jack B. Poage Field,No,No,No,No
58M,Claremont Airport,No,No,No,No
2W2,Clearview Airpark,No,No,No,No
CGS,College Park Airport,No,No,No,No
333,Somerset County Airport,No,No,No,No
W50,Davis Airport,No,No,No,No
ESN,Newnam Field,Yes,No,No,Yes
W48,Essex Skypark,No,No,No,No
W42,Fallston Airport,No,No,No,No
FDK,Frederick Municipal Airport,No,No,No,Yes
W00,Freeway Airport,No,No,No,No
2G4,Garrett County Airport,No,No,No,No
RJD,Gooden Airpark,No,No,No,No
CBE,Greater Cumberland Regional Airport,No,No,No,Yes
HGR,Richard A. Henson Field,No,No,No,Yes
0W3,Harford County Airport,No,No,No,No
M06,Havre de Grace Seaplane Base,No,No,No,No
3W3,Kentmorr Airpark,No,No,No,No
ANP,Lee Airport,No,No,No,No
MTN,Martin State Airport,No,No,No,No
2W5,Maryland Airport,No,No,No,No
MD1,Massey Aerodrome,No,No,No,No
1W3,Mexico Farms Airport,No,No,No,No
GAI,Montgomery County Airpark,No,No,No,Yes
OXB,Ocean City Municipal Airport,No,No,No,No
4MD,Pier 7 Heliport,No,No,No,No
VKX,Potomac Airfield,No,No,No,No
SBY,Ocean City: Wicomico Regional Airport,No,No,No,No
2W6,St. Mary's,No,No,No,No
FME,Tipton Airport,No,No,No,No
