Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ADG,LENAWEE COUNTY,Yes,No,No,Yes
35D,PADGHAM FIELD,No,No,No,Yes
AMN,GRATIOT COMMUNITY,No,No,No,No
ARB,ANN ARBOR MUNICIPAL,Yes,No,No,Yes
39G,AVOCA AIRPORT,No,No,No,No
E53,ENGLER FIELD,No,No,No,No
7D3,BALDWIN MUNICIPAL,No,No,No,Yes
4M4,SHADY LAWN FIELD,No,No,No,No
41G,UNIVERSITY AIRPARK,No,No,No,Yes
3CM,JAMES CLEMENTS,Yes,No,No,Yes
6Y8,WELKE,No,No,No,Yes
56C,BOULDER CANYON,No,No,No,No
ACB,ANTRIM COUNTY,No,No,No,Yes
43G,BELLEVILLE AIRPARK,No,No,Yes,No
BEH,S.W. MI REG,Yes,No,No,Yes
C20,ANDREWS,No,No,No,Yes
RQB,ROBEN - HOOD,No,No,No,Yes
44G,BETZ,No,No,No,No
6Y1,BOIS BLANC ISL AIRPORT,No,No,Yes,No
N98,BOYNE CITY MUNICIPAL,Yes,No,No,No
BFA,BOYNE MOUNTAIN,No,No,No,No
6G8,BROOKLYN AIRPORT,No,No,No,Yes
CAD,WEXFORD COUNTY,No,No,No,Yes
W87,BUZZWICK,No,No,No,No
CFS,TUSCOLA AREA,No,No,No,No
CVX,CHARLEVOIX MUNICIPAL,Yes,Yes,No,Yes
FPK,FITCH H. BEACH MUNI,Yes,No,No,Yes
49G,WEND VALLEY,No,No,No,No
SLH,CHEBOYGAN COUNTY,Yes,No,Yes,No
2M7,HOFFMAN'S BLACK MT,No,No,Yes,No
48D,CLARE MUNICIPAL,Yes,No,Yes,No
MI1,DENTON FARMS,No,No,No,Yes
51G,ALKAY,No,No,No,No
56M,MILLSTREAM AIRPARK,No,No,No,No
55G,ARNOLD FIELD,No,No,No,No
50D,IRON COUNTY,No,No,No,No
DET,COLEMAN YOUNG,No,No,No,No
YIP,WILLOW RUN,Yes,No,No,No
ONZ,GROSSE ILE MUNI,Yes,No,No,No
2E8,CACKLEBERRY,No,No,No,Yes
C91,DOWAGIAC MUNICIPAL,No,No,No,Yes
DRM,DRUMMOND ISLAND,No,No,Yes,No
Y94,EAST JORDAN CITY,No,No,No,No
6D9,IOSCO COUNTY,No,No,No,No
59M,TORCHPORT AIRPARK,No,No,Yes,No
60G,SKYWAY ESTATES,No,No,No,No
68R,HAMP SKYPORT,No,No,No,No
2E2,Sharpe's Strip,Yes,No,No,No
Y87,EMPIRE,Yes,No,No,No
ESC,DELTA COUNTY,Yes,No,No,No
9C8,EVART MUNICIPAL,Yes,No,No,Yes
FNT,Bishop Intl,Yes,No,No,No
3DA,DALTON,No,No,No,No
65G,MAPLE GROVE,Yes,No,No,Yes
E66,MAPLE GROVE HELI,Yes,No,No,Yes
66G,ZEHNDER FIELD,No,No,Yes,No
FKS,DOW MEM,Yes,No,No,No
392,FLYING-A-RANCH,Yes,No,No,Yes
4Y4,LAKES OF THE NORTH,No,No,No,Yes
GLR,GAYLORD REGIONAL AIRPORT,Yes,No,No,No
5M6,SUGAR SPRINGS AIRPARK,No,No,No,No
GDW,GLADWIN ZETTEL MEMORIAL,Yes,No,Yes,Yes
3GM,MEML AIRPARK,No,No,No,Yes
Y98,,No,No,Yes,Yes
GRR,GERALD R. FORD INTL,Yes,No,No,No
GOV,GRAYLING ARMY AIRFIELD,No,No,No,Yes
6D6,GREENVILLE MUNICIPAL,No,No,No,No
69G,RICHMOND FIELD,No,No,No,No
H80,FIELD OF DREAMS,No,No,No,No
CMX,HOUGHTON CO MEM,Yes,No,No,No
MGN,HARBOR SPRINGS MUNI,Yes,No,No,No
4Y9,EAGLES LANDING,No,No,No,No
80D,CLARE COUNTY,No,No,Yes,No
Z92,HARSENS ISLAND,No,No,No,No
C04,OCEANA COUNTY,Yes,No,No,No
9D9,HASTINGS AIRPORT,No,No,No,No
5Y1,ALBERT J. LINDBERG,No,No,No,No
13D,PONDEROSA HELIPORT,No,No,No,No
Y95,HILLMAN,No,No,No,No
JYM,HILLSDALE MUNICIPAL,Yes,No,No,No
BIV,WEST MI REG'L,No,No,No,Yes
5Y2,LAKE STATE,Yes,No,No,Yes
OZW,HOWELL,Yes,No,No,No
4Y1,RAETHER,No,No,No,No
Y65,CAMPBELL-PRATT,No,No,Yes,Yes
Y88,GREEN LAKE TWP,No,No,No,No
Y70,IONIA COUNTY,No,No,No,No
IMT,FORD,Yes,No,No,Yes
Y73,STAMBAUGH,No,No,No,No
IWD,GOGEBIC-IRON CO,Yes,No,No,No
M61,E. F. JOHNSON,No,No,No,Yes
JXN,JACKSON COUNTY - REYNOLDS,Yes,No,No,No
08C,RIVERVIEW,No,No,Yes,No
AZO,KALAMAZOO/BATTLE CREEK INT’L,Yes,No,No,No
4N0,NEWMAN’S,No,No,No,No
Y89,KALKASKA,No,No,No,Yes
24M,WILDERNESS AIRPARK,No,No,No,No
Y91,HOME ACRES SKY RANCH,No,No,No,No
D15,CAL BREWER MEM,No,No,No,No
13C,LAKEVIEW - GRIFFITH FIELD,No,No,No,Yes
DUH,TOLEDO SUBURBAN,No,No,No,Yes
LAN,CAPITAL REGION INT'L,Yes,No,No,No
LAN,CAPITAL REGION INT'L,No,No,No,No
D95,DUPONT -LAPEER,Yes,No,No,No
7Ml,FLUGPLATZ,No,No,No,No
9G2,PRICE’S,No,No,No,Yes
24C,LOWELL CITY,No,No,No,Yes
LDM,MASON COUNTY,Yes,No,No,No
D90,MANCELONA MUNICIPAL,No,No,No,No
75G,ROSSETTIE,No,No,No,No
MBL,MANISTEE COUNTY - BLACKER,No,No,No,No
ISQ,SCHOOLCRAFT CO _,No,No,Yes,No
76G,MARINE CITY,No,No,No,Yes
77G,MARLETTE TOWNSHIP,No,No,No,Yes
SAW,SAWYER INT'L,Yes,No,No,No
RMY,BROOKS FIELD,No,No,No,Yes
TEW,MASON JEWETT FIELD,No,No,No,Yes
0C5,CANADIAN LAKES,No,No,No,No
27C,MECOSTA-MORTON,No,No,No,Yes
MNM,MENOMINEE REGIONAL,Yes,No,No,Yes
IKW,JACK BARSTOW,Yes,No,No,No
TTF,CUSTER,No,No,No,Yes
6Y0,MOORESTOWN AIRPARK,No,No,No,No
MOP,MT. PLEASANT MUNICIPAL,No,No,No,No
5Y7,HANLEY FIELD,No,No,Yes,No
MKG,MUSKEGON COUNTY,No,No,No,No
3NP,NAPOLEON,No,No,No,No
