Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
D00,Ada,No,No,No,No
AIT,Aitkin,Yes,No,Yes,No
AEL,Lea,Yes,No,Yes,No
AXN,Alexandria,Yes,Yes,Yes,No
AQP,Appleton,No,No,Yes,No
AUM,Austin,No,No,Yes,No
7Y3,Backus,No,No,Yes,No
7Y4,Bagley,Yes,No,Yes,No
BDE,Baudette,Yes,No,Yes,Yes
BJI,Bemidji,No,No,No,No
BBB,Benson,No,No,Yes,No
7Y9,Falls,No,No,No,No
FOZ,Bigfork,No,No,No,No
SBU,Earth,Yes,No,No,No
9Y0,Bowstring,Yes,No,Yes,No
BRD,Brainerd,Yes,No,Yes,No
6D1,Brooten,Yes,No,Yes,Yes
CFE,Buffalo,Yes,No,No,No
CHU,Caledonia,Yes,No,Yes,No
CBG,Cambridge,Yes,No,Yes,No
CNB,Canby,Yes,No,Yes,No
8Y5,Clarissa,No,No,No,No
8Y6,Lake,No,No,Yes,Yes
COQ,Cloquet,Yes,Yes,Yes,No
CQM,Cook,Yes,No,Yes,No
CKN,Crookston,Yes,No,Yes,No
DTL,Lakes,No,No,Yes,No
TOB,Center,Yes,No,Yes,No
DLH,Duluth,No,No,Yes,No
DYT,Duluth,Yes,No,Yes,No
9Y2,Lake,No,No,No,No
Y63,Lake,Yes,No,Yes,Yes
ELO,Ely,No,No,No,No
EVM,Eveleth,No,No,Yes,No
FRM,Fairmont,Yes,No,Yes,Yes
FBL,Faribault,No,No,No,Yes
FFM,Falls,No,No,Yes,Yes
D14,Fertile,Yes,No,Yes,Yes
25D,Lake,No,No,Yes,No
FSE,Fosston,No,No,Yes,Yes
GYL,Glencoe,Yes,No,No,No
GHW,Glenwood,Yes,No,Yes,No
CKC,Marais,Yes,No,No,Yes
GPZ,Rapids,No,No,Yes,No
GDB,Falls,Yes,No,Yes,No
3G2,Grygla,No,No,Yes,No
HCO,Hallock,Yes,No,Yes,No
04Y,Hawley,Yes,No,No,No
1D6,Hector,Yes,No,Yes,Yes
05Y,Henning,No,No,Yes,No
06Y,Herman,Yes,No,Yes,No
HIB,Hibbing,No,No,No,No
07Y,City,No,No,Yes,No
04W,Hinckley,No,No,Yes,No
HCD,Hutchinson,Yes,No,Yes,No
INL,Falls,No,No,Yes,No
MJQ,Jackson,Yes,No,Yes,No
23D,Karlstad,No,No,Yes,Yes
12Y,Sueur,Yes,No,Yes,No
LJF,Litchfield,Yes,No,Yes,No
LXL,Falls,Yes,No,Yes,No
13Y,Littlefork,No,No,Yes,Yes
14Y,Prairie,Yes,No,Yes,No
XVG,Longville,Yes,No,Yes,No
LYV,Luverne,Yes,No,Yes,Yes
DXX,Madison,Yes,No,Yes,No
3N8,Mahnomen,Yes,No,Yes,No
MKT,Mankato,Yes,No,Yes,No
MGG,Lake,Yes,No,Yes,Yes
MML,Marshall,No,No,Yes,No
HZX,McGregor,Yes,No,Yes,Yes
18Y,Milaca,Yes,No,Yes,Yes
LVN,Minneapolis,Yes,No,No,Yes
ANE,Minneapolis,No,No,No,No
MIC,Minneapolis,No,No,No,No
FCM,Minneapolis,Yes,No,No,No
MSP,Minneapolis,No,No,No,No
MVE,Montevideo,Yes,No,Yes,Yes
JKJ,Moorhead,Yes,No,No,No
MZH,Lake,No,No,Yes,No
JMR,Mora,Yes,No,Yes,No
MOX,Morris,Yes,No,Yes,No
ULM,Ulm,Yes,No,Yes,No
43Y,Northome,No,No,Yes,Yes
OVL,Olivia,Yes,No,Yes,Yes
ORB,Orr,Yes,No,Yes,Yes
VVV,Ortonville,Yes,No,Yes,No
OWA,Owatonna,Yes,No,No,Yes
PKD,Rapids,Yes,No,Yes,Yes
PEX,Paynesville,Yes,No,No,No
47Y,Rapids,No,No,Yes,No
16D,Perham,Yes,No,No,No
PWC,River,Yes,No,Yes,No
48Y,Pinecreek,Yes,No,Yes,No
PQN,Pipestone,Yes,No,Yes,Yes
FKA,Preston,Yes,No,Yes,No
PNM,Princeton,Yes,No,Yes,No
D81,Falls,No,No,No,No
RGK,Wing,Yes,No,Yes,No
RWF,Falls,Yes,No,Yes,No
52Y,Remer,No,Yes,Yes,Yes
RST,Rochester,No,No,Yes,No
ROX,Roseau,Yes,No,Yes,No
ROS,City,Yes,No,Yes,No
55Y,Rushford,Yes,No,Yes,No
STC,Cloud,No,No,No,No
JYG,James,Yes,No,Yes,No
STP,Paul,No,No,No,No
21D,Paul,No,No,No,No
D39,Centre,Yes,No,Yes,Yes
DVP,Slayton,No,No,No,Yes
Y58,Eye,No,No,Yes,No
SGS,Paul,Yes,No,No,No
D42,Springfield,No,No,No,Yes
SYN,Stanton,No,No,Yes,No
SAZ,Staples,Yes,No,No,No
D32,Starbuck,Yes,Yes,Yes,No
D41,Stephen,Yes,No,No,Yes
TVF,Falls,Yes,No,Yes,No
12D,Tower,Yes,No,No,Yes
TKC,Tracy,Yes,No,Yes,Yes
TWM,Harbors,Yes,No,Yes,No
63Y,Tyler,No,No,No,No
ADC,Wadena,Yes,No,No,No
Y49,Walker,Yes,No,No,No
D37,Warren,Yes,No,Yes,No
RRT,Warroad,Yes,No,Yes,No
ACQ,Waseca,No,No,Yes,No
VWU,Waskish,No,No,Yes,Yes
68Y,Wells,No,No,Yes,No
ETH,Wheaton,No,No,Yes,No
BDH,Willmar,Yes,No,No,No
MWM,Windom,Yes,No,Yes,No
ONA,Winona,No,No,No,No
10D,Winsted,No,No,Yes,Yes
OTG,Worthington,Yes,No,Yes,Yes
