Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
K19,ALBANY MUNICIPAL,No,No,No,No
2H2,JERRY SUMNERS SR. AURORA MUNICIPAL,Yes,No,Yes,No
AOV,AVA BILL MARTIN MEMORIAL,Yes,No,No,No
2M1,HARRY S TRUMAN REGIONAL,No,No,No,Yes
75K,BETHANY MEMORIAL,No,No,No,Yes
H57,BISMARCK MEMORIAL,No,No,Yes,Yes
M17,BOLIVAR MUNICIPAL,Yes,No,No,No
1BT,BONNE TERRE MUNICIPAL,Yes,No,Yes,No
VER,JESSE VIERTEL MEMORIAL,Yes,No,Yes,No
H19,BOWLING GREEN MUNICIPAL,No,No,Yes,Yes
PLK,M. GRAHAM CLARK DOWNTOWN,Yes,No,No,Yes
BBG,BRANSON,Yes,No,No,No
FWB,BRANSON WEST MUNICIPAL - EMERSON FIELD,Yes,No,No,No
MO8,NORTH CENTRAL MISSOURI REGIONAL,Yes,No,No,No
H17,BUFFALO MUNICIPAL,No,No,No,Yes
BUM,BUTLER MEMORIAL,Yes,No,Yes,Yes
TVB,CABOOL MEMORIAL,No,No,Yes,Yes
OZS,CAMDENTON MEMORIAL - LAKE REGIONAL,Yes,No,No,No
EZZ,CAMERON MEMORIAL,Yes,No,Yes,Yes
34M,CAMPBELL MUNICIPAL,No,No,No,Yes
CGI,CAPE GIRARDEAU REGIONAL,Yes,No,No,No
K26,CARROLLTON MEMORIAL,No,No,No,No
M05,CARUTHERSVILLE MEMORIAL,No,No,No,No
94K,CASSVILLE MUNICIPAL,No,No,No,No
CHQ,MISSISSIPPI COUNTY,No,No,Yes,No
CHT,CHILLICOTHE MUNICIPAL,Yes,No,Yes,No
GLY,CLINTON REGIONAL,Yes,No,Yes,No
COU,COLUMBIA REGIONAL,Yes,No,No,No
UBX,CUBA MUNICIPAL,No,No,Yes,Yes
0C1,TRIPLE R,Yes,No,No,No
DXE,DEXTER MUNICIPAL,Yes,No,No,No
X33,DONIPHAN MUNICIPAL,No,No,Yes,No
87K,EL DORADO SPRINGS MEMORIAL,No,No,Yes,Yes
H79,ELDON MODEL AIRPARK,Yes,No,No,Yes
3EX,EXCELSIOR SPRINGS MEMORIAL,No,No,No,Yes
FAM,FARMINGTON REGIONAL,Yes,No,Yes,No
FES,FESTUS MEMORIAL,Yes,No,No,No
H88,A.PAUL VANCE FREDERICKTOWN MEMORIAL,Yes,No,No,No
FTT,ELTON HENSLEY MEMORIAL,No,No,Yes,No
H27,GAINESVILLE MEMORIAL,No,No,Yes,No
M85,GIDEON MEMORIAL,No,No,No,No
3GV,EAST KANSAS CITY,Yes,No,Yes,No
HAE,HANNIBAL REGIONAL,Yes,No,Yes,No
LRY,LAWRENCE SMITH MEMORIAL,Yes,No,Yes,No
M28,MID CONTINENT,Yes,No,No,Yes
63M,HERMANN MUNICIPAL,No,No,Yes,No
HIG,HIGGINSVILLE INDUSTRIAL MUNICIPAL,Yes,No,No,No
37M,HORNERSVILLE MEMORIAL,No,No,No,No
M48,HOUSTON MEMORIAL,No,No,No,Yes
JEF,JEFFERSON CITY MEMORIAL,Yes,No,No,No
JLN,JOPLIN REGIONAL,Yes,No,No,No
0H7,KAHOKA MUNICIPAL,No,No,No,No
AIZ,LEE C. FINE MEMORIAL,Yes,No,Yes,No
MKC,CHARLES B WHEELER DOWNTOWN,Yes,No,No,No
MCI,KANSAS CITY INTERNATIONAL,Yes,No,No,No
TKX,KENNETT MEMORIAL,Yes,No,No,No
IRK,KIRKSVILLE REGIONAL,Yes,No,Yes,No
LLU,LAMAR MUNICIPAL,No,No,No,No
LBO,FLOYD W. JONES,Yes,No,Yes,No
LXT,LEE'S SUMMIT MUNICIPAL,Yes,No,No,Yes
4K3,LEXINGTON MUNICIPAL,No,No,No,Yes
0N0,ROOSTERVILLE,Yes,No,Yes,Yes
0R2,LINCOLN MUNICIPAL,No,No,No,No
1H3,STATE TECHNICAL COLLEGE OF MISSOURI,No,No,No,Yes
K89,MACON-FOWER MEMORIAL,Yes,No,Yes,No
MAW,MALDEN REGIONAL,Yes,No,Yes,Yes
03B,MANSFIELD MUNICIPAL,No,No,No,Yes
MHL,MARSHALL MEMORIAL MUNICIPAL,Yes,No,No,No
EVU,NORTHWEST MISSOURI REGIONAL,Yes,No,Yes,Yes
78Y,RANKIN,No,No,Yes,Yes
03D,MEMPHIS MEMORIAL,No,No,Yes,Yes
MYJ,MEXICO MEMORIAL,Yes,No,Yes,No
MO9,KINGSLEY AIRFIELD,Yes,No,Yes,No
MBY,OMAR N. BRADLEY,Yes,No,No,No
HFJ,MONETT REGIONAL,Yes,No,No,No
K52,CPT BEN SMITH AIRFIELD,No,No,No,No
6M6,LEWIS COUNTY REGIONAL,No,No,Yes,Yes
GPH,MIDWEST NATIONAL AIR CENTER,Yes,No,No,Yes
M71,GREENSFIELD,No,No,No,No
2MO,MOUNT VERNON MUNICIPAL,No,No,No,No
1MO,MOUNTAIN GROVE MEMORIAL,No,No,Yes,Yes
MNF,MOUNTAIN VIEW,Yes,No,Yes,Yes
EOS,NEOSHO HUGH ROBINSON,Yes,No,Yes,Yes
NVD,NEVADA MUNICIPAL,Yes,No,No,No
EIW,COUNTY MEMORIAL,Yes,No,Yes,Yes
K15,GRAND GLAIZE,Yes,No,Yes,No
PCD,PERRYVILLE REGIONAL,Yes,No,Yes,No
PYN,PIEDMONT MUNICIPAL,Yes,No,Yes,No
POF,POPLAR BLUFF REGIONAL BUSINESS AIRPORT,Yes,No,No,Yes
8WC,WASHINGTON COUNTY,Yes,No,No,No
MO1,RICHLAND MUNICIPAL,No,No,No,Yes
K07,ROLLA DOWNTOWN,No,No,No,No
VIH,ROLLA NATIONAL,Yes,No,No,Yes
SET,SAINT CHARLES COUNTY SMARTT,Yes,No,No,No
STJ,ROSECRANS MEMORIAL,Yes,No,No,No
1H0,CREVE COEUR,Yes,No,Yes,No
STL,SAINT LOUIS LAMBERT INTERNATIONAL,Yes,No,No,Yes
SUS,SPIRIT OF SAINT LOUIS,Yes,No,Yes,No
K33,SALEM MEMORIAL,Yes,No,No,No
