Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ASJ,Tri-County Airport,No,No,No,No
VUJ,Stanly County Airport,Yes,No,No,No
RHP,Western Carolina Regional,Yes,No,No,No
HBI,Asheboro Regional Airport,Yes,No,No,No
AVL,Asheville Regional Airport,Yes,No,No,No
MRH,Michael J. Smith Field,Yes,No,No,No
3W6,Bladenboro Airport,No,No,No,No
BUY,Burlington-Alamance Airport,Yes,No,No,No
BQ1,Gilliam,No,No,No,No
8A6,Wilgrove Air Park,Yes,No,No,No
CLT,Charlotte/Douglas International Airport,Yes,No,No,No
CTZ,Clinton-Sampson County Airport,Yes,No,No,No
JQF,Concord-Padgett Regional Airport,Yes,No,No,No
ONX,Currituck County Regional Airport,No,No,No,No
EDE,Northeastern Regional Airport,Yes,No,No,No
ECG,Elizabeth City CGAS/Regional Airport,Yes,No,No,No
EYF,"Curtis L. Brown, Jr. Field",No,No,No,No
ZEF,Elkin Municipal Airport,Yes,No,No,No
7W6,Hyde County Airport,No,No,No,No
HRJ,Harnett Regional Jetport,Yes,No,No,No
N08,Flanagan Field,No,No,No,No
FAY,Fayetteville Regional/Grannis Field,Yes,No,No,No
2GC,Grays Creek Airport,No,No,No,No
1A5,Macon County Airport,No,No,No,No
AKH,Gastonia Municipal Airport,Yes,No,No,No
GWW,Wayne Executive Jetport,No,No,No,No
GSO,Piedmont Triad International Airport,Yes,No,No,No
W88,Air Harbor,No,No,No,No
3A4,Southeast Greensboro,No,No,No,No
PGV,Pitt-Greenville Airport,Yes,No,No,No
HSE,Billy Mitchell Airport,No,No,No,No
0A7,Hendersonville Airport,No,No,No,No
E40,Wilson's Airport,No,No,No,No
HKY,Hickory Regional Airport,Yes,No,No,No
N21,Holly Ridge/Topsail Island Airport,No,No,No,No
4W4,Whitfield Farms Airport,No,No,No,No
28A,Goose Creek Airport,No,No,No,No
N22,Sky Manor Airport,No,No,No,No
OAJ,Albert J. Ellis Airport,Yes,No,No,No
GEV,Ashe County Airport,No,No,No,No
78A,Swan Creek Airport,No,No,No,No
N88,Kecks Airport,No,No,No,No
DPL,Duplin County Airport,Yes,No,No,No
FFA,First Flight Airport,No,No,No,No
ISO,Kinston Regional Jetport at Stallings Field,Yes,No,No,No
W17,Raleigh East Airport,No,No,No,No
EXX,Davidson County Airport,Yes,No,No,No
2A5,Causey Airport,No,No,No,No
N61,Hinshaw (Greenacres) Airport,No,No,No,No
IPJ,Lincolnton-Lincoln County Regional Airport,Yes,No,No,No
LHZ,Triangle North Executive Airport,Yes,No,No,No
LBT,Lumberton Regional Airport,Yes,No,No,No
N92,Laney's Airport,No,No,No,No
MQI,Dare County Regional Airport,Yes,No,No,No
9A9,Shiflet Field,No,No,No,No
MEB,Laurinburg-Maxton Airport,Yes,No,No,No
8A7,Twin Lakes Airport,No,No,No,No
EQY,Charlotte-Monroe Executive Airport,Yes,No,No,No
14A,Lake Norman Airpark,No,No,No,No
MRN,Foothills Regional Airport,Yes,No,No,No
MWK,Mount Airy/Surry County Airport,Yes,No,No,No
W40,Mount Olive Municipal Airport,Yes,No,No,No
EWN,Coastal Carolina Regional Airport,Yes,No,No,No
UKF,Wilkes County Airport,No,No,No,No
SUT,Cape Fear Rgnl Jetport/Howie Franklin Fld,Yes,No,No,No
N83,DS Butler Farm and Airfield,No,No,No,No
60J,Odell Williamson Municipal Airport,No,No,No,No
W95,Ocracoke Island Airport,No,No,No,No
HNZ,Henderson-Oxford Airport,Yes,No,No,No
N26,Derby Aerodrome,No,No,No,No
SOP,Moore County Airport,Yes,No,No,No
7NC,Donald's Air Park,No,No,No,No
PMZ,Plymouth Municipal Airport,Yes,No,No,No
5W4,PK Airpark,No,No,No,No
5W5,Triple W Airport,Yes,No,No,No
RDU,Raleigh-Durham International Airport,Yes,No,No,No
SIF,Rockingham County-NC Shiloh Airport,Yes,No,No,No
6A5,Warf Airport,No,No,No,No
IXA,Halifax-Northampton Regional Airport,No,No,No,No
RCZ,Richmond County Airport,Yes,No,No,No
RWI,Rocky Mount-Wilson Regional Airport,Yes,No,No,No
8NC,Adams Airport,No,No,No,No
TDF,Person County Airport,Yes,No,No,No
FQD,Rutherford County-Marchman Field,Yes,No,No,No
RUQ,Mid-Carolina Regional Airport,Yes,No,No,No
TTA,Raleigh Exec. Jetport at Sanford-Lee County,Yes,No,No,No
EHO,Shelby-Cleveland County Regional,Yes,No,No,No
SCR,Siler City Municipal Airport,Yes,No,No,No
JNX,Johnston Regional Airport,Yes,No,No,No
7A8,Avery County/Morrison Field,Yes,No,No,No
43A,Montgomery County Airport,No,No,No,No
SVH,Statesville Regional Airport,Yes,No,No,No
24A,Jackson County Airport,No,No,No,No
ETC,Tarboro-Edgecombe Airport,No,No,No,No
NC2,Taylorsville Airport,No,No,No,No
N97,Hiatt Airport,No,No,No,No
AFP,Anson County,No,No,No,No
ACZ,Henderson Field,No,No,No,No
N63,Meadow Brook Field,No,No,No,No
OCW,Washington-Warren Airport,Yes,No,No,No
N52,JAARS-Townsend Airport,No,No,No,No
CPC,Columbus County Municipal Airport,Yes,No,No,No
MCZ,Martin County Airport,No,No,No,No
ILM,Wilmington International Airport,Yes,No,No,No
W03,Wilson Industrial Air Center,Yes,No,No,No
INT,Smith Reynolds Airport,Yes,No,No,No
05N,South Oaks Aerodrome,No,No,No,No
80C,Lone Hickory Airport,No,No,No,No
6W4,Caswell Airport,No,No,No,No
