Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
1A2,ARTHUR AIRPORT,No,No,No,No
ASY,ASHLEY MUNICIPAL,No,No,No,No
20U,BEACH AIRPORT,No,No,No,No
95D,BEULAH MUNICIPAL,Yes,No,No,No
BIS,BISMARCK MUNICIPAL,No,No,No,No
D09,BOTTINEAU MUNICIPAL,No,No,No,No
5B4,BOWBELLS MUNICIPAL,No,No,No,No
BWW,MX hanger can be used for storage with prior notifications,No,No,No,No
9D7,CANDO MUNICIPAL,No,No,No,No
46D,CARRINGTON MUNICIPAL,No,No,No,No
5N8,ROBERT MILLER REGIONAL,No,No,No,No
2C8,CAVALIER MUNICIPAL,No,No,No,No
D49,COLUMBUS MUNICIPAL,No,No,No,No
S32,COOPERSTOWN MUNICIPAL,No,No,No,No
D50,CROSBY MUNICIPAL,No,No,No,No
DVL,DEVILS LAKE REGIONAL,No,No,No,No
DIK,DICKINSON THEODORE ROOSEVELT REGIONAL,No,No,No,No
D29,DRAYTON MUNICIPAL,No,No,No,No
S28,INTERNATIONAL PEACE GARDEN,No,No,No,No
51D,EDGELEY MUNICIPAL,No,No,No,No
Y71,ELGIN,Yes,No,No,No
4E7,ELLENDALE MUNICIPAL,No,No,No,No
5N4,SKY HAVEN,No,No,No,No
FAR,HECTOR INTERNATIONAL,No,No,No,No
D24,FESSENDEN-STREIBEL MUNICIPAL,No,No,No,No
Y27,STANDING ROCK,No,No,No,No
9G9,GACKLE MUNICIPAL,No,No,No,No
D05,GARRISON MUNICIPAL,No,No,No,No
D57,GLEN ULLIN REGIONAL,No,No,No,No
GAF,GRAFTON HUTSON FIELD,No,No,No,No
GFK,GRAND FORKS INTERNATIONAL,No,No,No,No
GWR,GWINNER-ROGER MELROE FIELD,No,No,No,No
5H4,HARVEY MUNICIPAL,No,No,No,No
6H8,HAZELTON MUNICIPAL,No,No,No,No
HZE,MERCER COUNTY REGIONAL,No,No,No,No
HEI,JB LINDQUIST REGIONAL,No,No,No,No
3H4,HILLSBORO REGIONAL,No,No,No,No
JMS,JAMESTOWN REGIONAL,No,No,No,No
7K5,KENMARE MUNICIPAL,No,No,No,No
9Y1,DUNN COUNTY,No,No,No,No
K74,ROBERT ODEGAARD FIELD,No,No,No,No
D03,KULM MUNICIPAL AIRPORT,No,No,No,No
5L0,LAKOTA MUNICIPAL,No,No,No,No
4F9,LA MOURE ROTT MUNICIPAL,No,No,No,No
D55,ROBERTSON FIELD,No,No,No,No
2L1,LARIMORE MUNICIPAL,No,No,No,No
D31,LEEDS MUNICIPAL,No,No,No,No
4N4,LIDGERWOOD MUNICIPAL,No,No,No,No
7L2,LINTON MUNICIPAL,No,No,No,No
6L3,LISBON MUNICIPAL,No,No,No,No
6D3,MADDOCK MUNICIPAL,No,No,No,No
Y19,MANDAN MUNICIPAL,No,No,No,No
D56,MAYVILLE MUNICIPAL,No,No,No,No
7G2,MCCLUSKY MUNICIPAL,No,No,No,No
8M6,MCVILLE MUNICIPAL,No,No,No,No
4R6,MILNOR MUNICIPAL AIRPORT,No,No,No,No
MOT,MINOT INTERNATIONAL,No,No,No,No
D06,MINTO MUNICIPAL AIRPORT,No,No,No,No
HBC,MOHALL MUNICIPAL,No,No,No,No
3P3,Car available upon request,No,No,No,No
5B5,NAPOLEON MUNICIPAL,No,No,No,No
8J7,TOMLINSON FIELD,No,No,No,No
05D,NEW TOWN MUNICIPAL,No,No,No,No
4V4,MUNICIPAL - VINCE FIELD,No,No,No,No
2D5,OAKES MUNICIPAL,No,No,No,No
64G,PAGE REGIONAL,No,No,No,No
Y37,W.C. SKJERVEN,No,No,No,No
Y74,PARSHALL-HANKINS,No,No,No,No
PMB,THOMAS NORD FIELD,No,No,No,No
Y99,TRULSON FIELD,No,No,No,No
4E8,RICHARDTON MUNICIPAL,No,No,No,No
37N,GARRISON DAM RECREAT’L AIRPORT,No,No,No,No
2H9,ROLETTE AIRPORT,No,No,No,No
06D,ROLLA MUNICIPAL,No,No,No,No
RUG,RUGBY MUNICIPAL,No,No,No,No
08D,STANLEY MUNICIPAL,No,No,No,No
4S5,ST. THOMAS MUNICIPAL,No,No,No,No
D60,TIOGA MUNICIPAL,Yes,No,No,No
D61,TOWNER MUNICIPAL,No,No,No,No
91N,TURTLE LAKE MUNICIPAL,No,No,No,No
BAC,BARNES COUNTY MUNICIPAL,No,No,No,No
BWP,HARRY STERN,No,No,No,No
96D,WALHALLA MUNICIPAL,Yes,No,No,No
5C8,WASHBURN MUNICIPAL,No,No,No,No
S25,WATFORD CITY MUNICIPAL,No,No,No,No
D54,WEST FARGO MUNICIPAL,No,No,No,No
D64,WESTHOPE MUNICIPAL,No,No,No,No
XWA,WILLISTON BASIN INTERNATIONAL AIRPORT,No,No,No,No
6L5,WISHEK MUNICIPAL,No,No,No,No
