Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ANW,Ainsworth,No,No,No,No
BVN,Albion,No,No,No,No
AIA,Alliance,No,No,No,No
4D9,Alma,No,No,No,No
H63,Alma SPB,No,No,No,No
37V,Arapahoe,No,No,No,No
8V2,Atkinson,No,No,No,No
K01,Auburn,No,No,No,No
AUH,Aurora,No,No,No,No
RBE,Bassett,No,No,No,No
BIE,Beatrice,No,No,No,No
BTA,Blair,No,No,No,No
84Y,Bloomfield,No,No,No,No
BBW,Broken Bow,No,No,No,No
BUB,Burwell,No,No,No,No
CSB,Cambridge,No,No,No,No
07K,Central City,No,No,No,No
CDR,Chadron,No,No,No,No
CNP,Chappell,No,No,No,No
OLU,Columbus,No,No,No,No
CZD,Cozad,No,No,No,No
6K3,Creighton,No,No,No,No
CEK,Crete,No,No,No,No
47V,Curtis,No,No,No,No
93Y,David City,No,No,No,No
FBY,Fairbury,No,No,No,No
FMZ,Fairmont,No,No,No,No
FNB,Falls City,No,No,No,No
FET,Fremont,No,No,No,No
97Y,Genoa,No,No,No,No
GRN,Gordon,No,No,No,No
GTE,Gothenburg,No,No,No,No
GRI,Grand Island,No,No,No,No
GGF,Grant,No,No,No,No
0B4,Hartington,No,No,No,No
08K,Harvard,No,No,No,No
HSI,Hastings,No,No,No,No
4V6,Hay Springs,No,No,No,No
HJH,Hebron,No,No,No,No
HDE,Holdrege,No,No,No,No
1V2,Hyannis,No,No,No,No
IML,Imperial,No,No,No,No
EAR,Kearney,No,No,No,No
IBM,Kimball,No,No,No,No
LXN,Lexington,No,No,No,No
LNK,Lincoln,No,No,No,No
0F4,Loup City,No,No,No,No
MCK,McCook,No,No,No,No
0V3,Minden,No,No,No,No
AFK,Nebraska City,No,No,No,No
4V9,Neligh,No,No,No,No
OFK,Norfolk,No,No,No,No
LBF,North Platte,No,No,No,No
OGA,Ogallala,No,No,No,No
OMA,Omaha,No,No,No,No
MLE,Omaha,No,No,No,No
ONL,O'Neill,No,No,No,No
ODX,Ord,No,No,No,No
OKS,Oshkosh,No,No,No,No
50K,Pawnee City,No,No,No,No
0C4,Pender,Yes,No,No,No
PMV,Plattsmouth,No,No,No,No
7V7,Red Cloud,No,No,No,No
9V5,Rushville,No,No,No,No
09K,Sargent,No,No,No,No
BFF,Scottsbluff,No,No,No,No
SCB,Scribner,No,No,No,No
SWT,Seward,No,No,No,No
SNY,Sidney,No,No,No,No
7K8,South Sioux City,No,No,No,No
12K,Superior,No,No,No,No
0G3,Tecumseh,No,No,No,No
TQE,Tekamah,No,No,No,No
TIF,Thedford,No,No,No,No
VTN,Valentine,No,No,No,No
AHQ,Wahoo,No,No,No,No
64V,Wallace,No,No,No,No
LCG,Wayne,No,No,No,No
JYR,York,No,No,No,No
