Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
12N,AEROFLEX-ANDOVER AIRPORT,Yes,No,No,No
N85,ALEXANDRIA FIELD,No,No,No,No
ACY,ATLANTIC CITY INTERNATIONAL,Yes,No,No,No
1N7,BLAIRSTOWN AIRPORT,No,No,No,No
00N,BUCKS AIRPORT,No,No,No,No
19N,CAMDEN COUNTY AIRPORT,No,No,No,No
WWD,CAPE MAY COUNTY AIRPORT,No,No,No,Yes
47N,CENTRAL JERSEY REGIONAL,Yes,No,No,No
17N,CROSS KEYS AIRPORT,Yes,No,No,No
31E,EAGLES NEST AIRPORT,Yes,No,No,No
CDW,ESSEX COUNTY AIRPORT,No,No,No,No
N14,FLYING W AIRPORT,No,No,No,Yes
4N1,GREENWOOD LAKE AIRPORT,Yes,No,No,Yes
N05,HACKETTSTOWN AIRPORT,No,No,No,No
N81,HAMMONTON MUNICIPAL AIRPORT,No,No,No,No
29N,KROELINGER AIRPORT,No,No,No,No
N12,LAKEWOOD AIRPORT,No,No,No,No
N07,LINCOLN PARK AIRPORT,Yes,No,No,No
LDJ,LINDEN AIRPORT,No,No,No,No
2N7,LITTLE FERRY SEAPLANE BASE,No,No,No,No
MIV,MILLVILLE MUNICIPAL AIRPORT,No,No,No,No
BLM,MONMOUTH EXECUTIVE AIRPORT,Yes,No,No,No
MMU,MORRISTOWN MUNICIPAL AIRPORT,Yes,No,No,No
EWR,NEWARK LIBERTY INTERNATIONAL,No,No,No,No
26N,OCEAN CITY MUNICIPAL AIRPORT,No,No,No,No
MJX,OCEAN COUNTY AIRPORT,No,No,No,No
3N6,OLD BRIDGE AIRPORT,No,No,No,No
7N7,OLDMANS TOWNSHIP AIRPORT,No,No,No,No
39N,PRINCETON AIRPORT,Yes,No,No,No
2N6,REDWING AIRPORT,No,No,No,No
N40,SKY MANOR AIRPORT,No,No,No,No
N51,SOLBERG-HUNTERDON AIRPORT,Yes,No,No,No
SMQ,SOMERSET AIRPORT,No,No,No,No
VAY,SOUTH JERSEY REGIONAL AIRPORT,Yes,No,No,Yes
C01,SOUTHERN CROSS AIRPORT,No,No,No,No
FWN,SUSSEX AIRPORT,No,No,No,No
TEB,TETERBORO AIRPORT,No,No,No,No
TTN,TRENTON-MERCER AIRPORT,Yes,No,No,No
N87,TRENTON-ROBBINSVILLE AIRPORT,No,No,No,No
28N,VINELAND-DOWNSTOWN AIRPORT,No,No,No,No
OBI,WOODBINE MUNICIPAL AIRPORT,No,No,No,No
,,Yes,No,No,No
