Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
L92,ALAMO LANDING FIELD,No,No,No,No
TMT,AUSTIN,Yes,No,No,No
BAM,BATTLE MOUNTAIN,Yes,No,No,No
BTY,BEATTY,No,No,No,No
BVU,F.B.O.,Yes,No,No,No
160,CALVADA MEADOWS,No,No,No,No
CXP,CARSON CITY,Yes,No,No,No
U74,CRESCENT VALLEY,No,No,No,No
9U7,CURRANT RANCH,No,No,No,No
A34,Dayton Valley Airpark,No,No,No,No
E85,DENIO JUNCTION,No,No,No,Yes
LOL,DERBY FIELD,No,No,No,No
01U,DUCKWATER AIRPORT,No,No,No,No
2Q9,DYER,No,No,No,No
OL9,ECHO BAY,No,No,No,No
EKO,ELKO,Yes,No,No,Yes
ELY,ELY/YELLAND FIELD,Yes,No,No,No
05U,EUREKA,No,No,No,No
FLX,FALLON MUNICIPAL,Yes,No,No,No
GAB,GABBS,No,No,No,No
HTH,REIL PACIFIC 120.225 /,Yes,No,No,No
HND,HENDERSON EXECUTIVE,Yes,No,No,Yes
06U,JACKPOT/HAYDEN FIELD,No,No,No,No
0L7,JEAN,No,No,No,No
1L4,KIDWELL,No,No,No,Yes
N15,KINGSTON,No,No,No,No
0L4,Lida Juncion Airport,No,No,No,No
1L1,LINCOLN COUNTY,No,No,No,No
LAS,McCarran International,Yes,No,No,Yes
67L,MESQUITE,Yes,No,No,No
3Q0,MINA,No,No,No,No
MEV,Minden-Tahoe Airport,Yes,No,No,Yes
VGT,North Las Vegas Airport ,Yes,No,No,Yes
10U,OWYHEE,No,No,No,No
U08,Perkins Field,No,No,No,No
RTS,Reno-Stead Airport,Yes,No,No,No
RNO,RENO/TAHOE INT’L,Yes,No,No,Yes
N59,Rosaschi Airpark,No,No,No,No
1L3,SEARCHLIGHT AIRPARK,No,No,No,No
SPZ,SILVER SPRINGS,No,No,No,No
3L2,Sky Ranch Estates,No,No,No,No
N86,SPANISH SPRINGS,No,No,No,No
08U,STEVENS CROSBY,No,No,No,No
N58,TIGER FIELD,No,No,No,No
TPH,TONOPAH,No,No,No,No
LWL,WELLS MUNICIPAL/HARRIET FIELD,No,No,No,No
WMC,WINNEMUCCA MUNICIPAL,Yes,No,No,No
O43,YERINGTON MUNICIPAL,No,No,No,Yes
