Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
SLK,SARANAC LAKE,Yes,No,No,No
ALB,ALBANY,Yes,No,No,No
BUF,BUFFALO,Yes,No,No,No
JHW,JAMESTOWN CHAUTAUQUA CO.,Yes,No,No,No
ELM,ELMIRA CHEMUNG CO.,No,No,No,No
BGM,BINGHAMTON,Yes,No,No,No
ROC,ROCHESTER,Yes,No,No,No
ITH,ITHACA,Yes,No,No,No
JFK,NEW YORK QUEENS CO.,No,No,No,No
LGA,NEW YORK QUEENS CO.,No,No,No,No
ISP,ISLIP SUFFOLK CO.,No,No,No,No
MSS,MASSENA,No,No,No,No
OGS,OGDENSBURG,Yes,No,No,No
PBG,PLATTSBURGH CLINTON CO.,Yes,No,No,No
SWF,NEWBURGH,Yes,No,No,Yes
SYR,SYRACUSE ONONDAGA CO.,Yes,No,No,No
ART,WATERTOWN,Yes,No,No,No
HPN,WHITE PLAINS,Yes,No,No,No
0G7,SENECA FALLS SENECA CO.,Yes,No,No,No
GFL,GLENS FALLS,Yes,No,No,No
FOK,WESTHAMPTON BEACH,Yes,No,No,No
6B4,UTICA,Yes,No,No,No
115,FREEHOLD GREENE Co.,No,No,No,Yes
NYO,JOHNSTOWN,Yes,No,No,No
Bo4,SCHUYLERVILLE,Yes,No,No,No
GVQ,BATAVIA GENESEE CO.,Yes,No,No,No
D52,GENESEO,Yes,No,No,No
8G3,OLEAN CATTARAUGUS CO.,No,No,No,No
D59,GOWANDA ERIE CO.,Yes,No,No,No
N56,GREAT VALLEY CATTARAUGUS CO.,Yes,No,No,No
1A1,LIVINGSTON,No,No,No,No
4N7,GREENE,Yes,No,No,No
1H4,GREENVILLE GREENE CO.,No,No,No,No
RME,ROME,Yes,No,No,No
INC,HAMBURG ERIE CO.,Yes,No,No,No
VGC,HAMILTON,Yes,No,No,No
K30,GANSEVOORT,No,No,No,No
85N,NEWFANE,No,No,No,No
4G6,HORNELL,Yes,No,No,No
N89,ELLENVILLE,Yes,No,No,No
20N,KINGSTON,Yes,No,No,No
NY1,GHENT COLUMBIA CO.,Yes,No,No,No
