Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
AKR,,No,No,No,Yes
CAK,,No,No,No,No
1D4,,No,No,No,No
4G3,,No,No,No,No
2D1,,No,No,No,No
3G4,,No,No,No,No
HZY,,No,No,No,No
UNI,,No,No,No,No
7B4,,No,No,No,No
6G5,,No,No,No,No
I69,,No,No,No,No
2D7,,No,No,No,No
EDJ,,No,No,No,No
5G7,,No,No,No,No
1G0,,No,No,No,No
0G6,,No,No,No,No
17G,,No,No,No,No
8G6,,No,No,No,No
I10,,No,No,No,No
CDI,,Yes,No,No,No
TSO,,No,No,No,No
5D6,,No,No,No,No
CQA,,No,No,No,No
6CM,,No,No,No,No
HTW,,No,No,No,No
RZT,,No,No,No,No
LUK,,No,No,No,No
CYO,,No,No,No,No
CLE,,No,No,No,No
CGF,,No,No,No,No
BKL,,No,No,No,No
5D9,,No,No,No,No
TZR,,No,No,No,No
LCK,,No,No,No,No
OSU,,No,No,No,No
CMH,,No,No,No,No
I40,,No,No,No,No
DAY,,No,No,No,No
I44,,No,No,No,No
I19,,No,No,No,No
I73,,No,No,No,No
MGY,,No,No,No,No
3I7,,No,No,No,No
DFI,,No,No,No,No
DLZ,,No,No,No,No
6D7,,No,No,No,No
02G,,No,No,No,No
1G1,,No,No,No,No
FDY,,No,No,No,No
FZI,,No,No,No,No
14G,,No,No,No,No
S24,,No,No,No,No
GQQ,,No,No,No,No
GAS,,No,No,No,No
7D8,,No,No,No,No
7D9,,No,No,No,No
GEO,,No,No,No,No
HAO,,No,No,No,No
I67,,No,No,No,No
HOC,,No,No,No,No
88D,,No,No,No,No
JRO,,No,No,No,No
89D,,No,No,No,No
1G3,,No,No,No,No
I95,,No,No,No,No
LHQ,,No,No,No,No
I68,,No,No,No,No
R47,,No,No,No,No
AOH,,No,No,No,No
UYF,,No,No,No,No
LPR,,No,No,No,No
MFD,,No,No,No,No
MNN,,No,No,No,No
MRT,,No,No,No,No
22I,,No,No,No,No
1G5,,No,No,No,No
BASS,,No,No,No,No
BASS,,No,No,No,No
7G8,,No,No,No,No
MWO,,No,No,No,No
10G,,No,No,No,No
4I9,,No,No,No,No
4I3,,No,No,No,No
6G4,,No,No,No,No
O74,,No,No,No,No
7W5,,No,No,No,No
I86,,No,No,No,No
NEW,,No,No,No,No
VTA,,No,No,No,No
41N,,No,No,No,No
BASS,,No,No,No,No
5A1,,No,No,No,No
OWX,,No,No,No,No
OXD,,No,No,No,No
2G1,,No,No,No,No
I17,,No,No,No,No
PCW,,No,No,No,No
PMH,,No,No,No,No
3W2,,No,No,No,No
5E9,,No,No,No,No
POV,,No,No,No,No
38D,,No,No,No,No
8G8,,No,No,No,No
3G6,,No,No,No,No
12G,,No,No,No,No
SCA,,No,No,No,No
SGH,,No,No,No,No
2P7,,No,No,No,No
2G2,,No,No,No,No
16G,,No,No,No,No
TOL,,No,No,No,No
TDZ,,No,No,No,No
1G8,,No,No,No,No
I54,,No,No,No,No
1WF,,No,No,No,No
I74,,No,No,No,No
38I,,Yes,No,No,No
VNW,,No,No,No,No
VES,,No,No,No,No
3G3,,No,No,No,No
15G,,No,No,No,No
I64,,No,No,No,No
AXV,,No,No,No,No
62D,,No,No,No,No
USE,,No,No,No,Yes
EOP,,No,No,No,No
40I,,No,No,No,No
WEST,,No,No,No,No
AMT,,No,No,No,No
8G1,,No,No,No,No
LNN,,No,No,No,No
ILN,,No,No,No,No
I66,,No,No,No,No
2B6,,No,No,No,No
4G5,,No,No,No,No
BJJ,,No,No,No,No
04G,,No,No,No,No
4G4,,No,No,No,No
ZZV,,No,No,No,No
42I,,Yes,No,No,No
2D6,,No,No,No,No
5D1,,No,No,No,No
5D7,,No,No,No,No
6T2,,No,No,No,No
O12,,No,No,No,No
2C9,,No,No,No,No
