Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ADH,Ada Municipal,Yes,No,No,No
AXS,Altus-Quartz Mountain Regional,Yes,No,No,No
AVK,Alva Regional,Yes,No,No,No
F68,Anadarko Municipal,No,No,No,No
80F,Antlers Municipal,Yes,No,No,No
1F0,Ardmore Downtown Executive,Yes,No,No,No
ADM,Ardmore Municipal,Yes,No,No,No
AQR,Atoka Municipal,Yes,No,No,No
BVO,Bartlesville Municipal,Yes,No,No,No
K44,Beaver Municipal,Yes,No,No,No
BKN,Blackwell-Tonkawa Municipal,Yes,No,No,No
17K,Boise City Municipal,No,No,No,No
90F,Broken Bow Municipal,No,No,No,No
BFK,Buffalo Municipal,No,No,No,No
91F,Carlton Landing Field,Yes,No,No,No
86F,Carnegie Municipal,Yes,No,No,No
CQB,Chandler Regional,Yes,No,No,No
92F,Chattanooga Sky Harbor,No,No,No,No
4O5,Cherokee Municipal,Yes,No,No,No
CHK,Chickasha Municipal,No,No,No,No
O65,Christman Airfield,No,No,No,No
GCM,Claremore Regional,Yes,No,No,No
RCE,Clarence E. Page Municipal,Yes,No,No,No
95F,Cleveland Municipal,Yes,No,No,No
CLK,Clinton Regional,No,No,No,No
CSM,Clinton-Sherman,Yes,No,No,No
F36,Cordell Municipal,No,No,No,No
CUH,Cushing Municipal,No,No,No,No
1K4,David Jay Perry,Yes,No,No,No
DUA,Durant Regional - Eaker Field,Yes,No,No,No
RQO,El Reno Regional,Yes,No,No,No
ELK,Elk City Regional Business,Yes,No,No,No
WDG,Enid Woodring Regional,Yes,No,No,No
F08,Eufaula Municipal,Yes,No,No,No
6K4,Fairview Municipal,No,No,No,No
0F7,Fountainhead Lodge Airpark,No,No,No,No
FDR,Frederick Regional,Yes,No,No,No
GAG,Gage,Yes,No,No,No
1O1,Grandfield Municipal,No,No,No,No
GMJ,Grove Municipal,Yes,No,No,No
GOK,Guthrie-Edmond Regional,No,No,No,No
GUY,Guymon Municipal,Yes,No,No,No
DUC,Halliburton Field,Yes,No,No,No
F32,Healdton Municipal,Yes,No,No,No
H68,Hefner-Easley,No,No,No,No
F10,Henryetta Municipal,Yes,No,No,No
2O8,Hinton Municipal,Yes,No,No,No
HBR,Hobart Regional,Yes,No,No,No
F99,Holdenville Municipal,Yes,No,No,No
O35,Hollis Municipal,No,No,No,No
H92,Hominy Municipal,No,No,No,No
O45,Hooker Municipal,No,No,No,No
3F7,Jones Memorial,Yes,No,No,No
F92,Kingfisher,Yes,No,No,No
F31,Lake Texoma State Park,Yes,No,No,No
LAW,Lawton-Ft. Sill Regional,Yes,No,No,No
1K2,Lindsay Municipal,No,No,No,No
1F4,Madill Municipal,Yes,No,No,No
MLC,McAlester Regional,No,No,No,No
4O4,McCurtain County Regional,Yes,No,No,No
O53,Medford Municipal,No,No,No,No
MIO,Miami Municipal,Yes,No,No,No
H71,Mid-America Industrial,No,No,No,No
93F,Mignon Laird Municipal,Yes,No,No,No
MDF,Mooreland Municipal,Yes,No,No,No
MKO,Muskogee-Davis Regional,Yes,No,No,No
F81,Okemah Flying Field,Yes,No,No,No
OKM,Okmulgee Regional,No,No,No,No
PVJ,Pauls Valley Municipal,No,No,No,No
H76,Pawhuska Municipal,Yes,No,No,No
F22,Perry Municipal,Yes,No,No,No
PNC,Ponca City Regional,Yes,No,No,No
O47,Prague Municipal,Yes,No,No,No
3O3,Purcell Municipal - Steven E. Shephard Field,Yes,No,No,No
RKR,Robert S. Kerr,No,No,No,No
JSV,Sallisaw Municipal,Yes,No,No,No
3O4,Sayre Municipal,Yes,No,No,No
2K4,Scott Field,Yes,No,No,No
SRE,Seminole Municipal,Yes,No,No,No
SNL,Shawnee Regional,Yes,No,No,No
2F6,Skiatook Municipal,No,No,No,No
1K8,South Grand Lake Regional,Yes,No,No,No
HHW,Stan Stamper Municipal,Yes,No,No,No
GZL,Stigler Regional,Yes,No,No,No
SWO,Stillwater Regional,Yes,No,No,No
SUD,Stroud Municipal,Yes,No,No,No
F30,Sulphur Municipal,No,No,No,No
TQH,Tahlequah Municipal,Yes,No,No,No
6F1,Talihina Municipal,Yes,No,No,No
44M,Tenkiller Lake Airpark,Yes,No,No,No
K49,Texhoma Municipal,Yes,No,No,No
1O4,Thomas Municipal,Yes,No,No,No
1O8,Tipton Municipal,No,No,No,No
0F9,Tishomingo Airpark,No,No,No,No
TUL,Tulsa International,No,No,No,No
RVS,Tulsa Riverside,No,No,No,No
OUN,University of Oklahoma Westheimer,No,No,No,No
H04,Vinita Municipal,Yes,No,No,No
3O5,Walters Municipal,Yes,No,No,No
JWG,Watonga Regional,Yes,No,No,No
1K5,Waynoka Municipal,No,No,No,No
OJA,Weatherford Stafford,No,No,No,No
WWR,West Woodward,Yes,No,No,No
4F1,Westport,Yes,No,No,No
H05,Wilburton Municipal,Yes,No,No,No
PWA,Wiley Post,No,No,No,No
OKC,Will Rogers World,Yes,No,No,No
OWP,William R. Pogue Municipal,Yes,No,No,No
