Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
AIK,AIKEN RGNL,No,No,No,No
AQX,ALLENDALE COUNTY,No,No,No,No
AND,ANDERSON RGNL,No,No,No,No
PHH,ROBERT F SWINNIE ANDREWS,No,No,No,No
99N,BAMBERG COUNTY,No,No,No,No
BNL,BARNWELL RGNL,No,No,No,No
ARW,BEAUFORT EXECUTIVE,No,No,No,No
BBP,MARLBORO COUNTY JETPORT - H E AVENT FIELD BENNETTSVILLE,No,No,No,No
52J,LEE COUNTY-BUTTERS FLD,No,No,No,No
CDN,WOODWARD FIELD,No,No,No,No
CHS,CHARLESTON AFB/INTL,No,No,No,No
JZI,CHARLESTON EXECUTIVE,No,No,No,No
CQW,CHERAW MUNI/LYNCH BELLINGER FIELD,No,No,No,No
DCM,CHESTER CATAWBA RGNL,No,No,No,No
CEU,OCONEE COUNTY RGNL CLEMSON,No,No,No,No
9W9,CLIO CROP CARE,No,No,No,No
CAE,COLUMBIA METROPOLITAN,No,No,No,No
CUB,JIM HAMILTON -L B OWENS COLUMBIA,No,No,No,No
HYW,CONWAY-HORRY COUNTY,No,No,No,No
6J7,BRANHAMS,No,No,No,No
UDG,DARLINGTON COUNTY,No,No,No,No
DLC,DILLON COUNTY,No,No,No,No
FLO,FLORENCE RGNL,No,No,No,No
GGE,GEORGETOWN COUNTY,No,No,No,No
S17,TWIN LAKES GRANITEVILLE,No,No,No,No
S79,GREEN SEA,No,No,No,No
GMU,GREENVILLE DOWNTOWN,No,No,No,No
GYH,DONALDSON FIELD,No,No,No,No
GRD,GREENWOOD COUNTY,No,No,No,No
GSP,GREENVILLE SPARTANBURG INTL,No,No,No,No
3J0,HAMPTON COUNTY,No,No,No,No
2Q0,FLYING W HARTSVILLE,No,No,No,No
HVS,HARTSVILLE RGNL,No,No,No,No
HXD,HILTON HEAD,No,No,No,No
5J5,HOLLY HILL,No,No,No,No
CKI,WILLIAMSBURG RGNL,No,No,No,No
51J,LAKE CITY MUNI CJ EVANS FIELD,No,No,No,No
LKR,LANCASTER COUNTY-MC WHIRTER FIELD,No,No,No,No
T73,KIRK AIR BASE,No,No,No,No
33A,FAI,No,No,No,No
LUX,LAURENS COUNTY,No,No,No,No
5J9,TWIN CITY LORIS,No,No,No,No
MNI,SANTEE COOPER RGNL MANNING,No,No,No,No
MAO,MARION COUNTY,No,No,No,No
S19,MC CORMICK COUNTY,No,No,No,No
MKS,BERKELEY COUNTY MONCKS CORNER,No,No,No,No
LRO,MT PLEASANT RGNL-FAISON FIELD MOUNT PLEASANT,No,No,No,No
MYR,MYRTLE BEACH INTL,No,No,No,No
EOE,NEWBERRY COUNTY,No,No,No,No
CRE,GRAND STRAND,No,No,No,No
1DS,DRY SWAMP,No,No,No,No
OGB,ORANGEBURG MUNI,No,No,No,No
PYG,PAGELAND,No,No,No,No
6J0,LEXINGTON COUNTY PELION,No,No,No,No
LQK,PICKENS COUNTY,No,No,No,No
3J1,RIDGELAND-CLAUDE DEAN RIDGELAND,No,No,No,No
UZA,ROCK HILL/YORK CO/BRYANT FIELD,No,No,No,No
6J4,SALUDA COUNTY,No,No,No,No
SPA,SPARTANBURG DOWNTOWN MEMORIAL/SIMPSON,No,No,No,No
6J2,ST GEORGE,No,No,No,No
DYB,SUMMERVILLE,No,No,No,No
SMS,SUMTER,No,No,No,No
58J,HU,No,No,No,No
6J6,EDGEFIELD COUNTY,No,No,No,No
35A,UNION COUNTY, TROY SHELTON FLD,No,No,No,No
RBW,LOWCOUNTRY RGNL WALTERBORO,No,No,No,No
FDW,FAIRFIELD COUNTY,No,No,No,No
