Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
MMI,MCMINN COUNTY,Yes,No,No,No
92A,CHILHOWEE GLIDERPORT,Yes,No,No,No
M08,WILLIAM L. WHITEHURST FLD,Yes,No,No,No
TRI,"TRI-CITIES REGIONAL, TN/VA",Yes,No,No,No
0M4,BENTON COUNTY,Yes,No,No,No
GHM,CENTERVILLE MUNICIPAL,Yes,No,No,No
CHA,LOVELL FIELD,Yes,No,No,No
1A0,DALLAS BAY SKYPARK,Yes,No,No,No
CKV,OUTLAW FLD,Yes,No,No,No
RZR,CLEVELAND REGIONAL JETPORT,Yes,No,No,No
M29,HASSELL FLD,Yes,No,No,No
FGU,COLLEGEDALE MUNICIPAL,Yes,No,No,No
MRC,MAURY COUNTY,Yes,No,No,No
1A3,MARTIN CAMPBELL FLD,Yes,No,No,No
M04,COVINGTON MUNICIPAL,Yes,No,No,No
CSV,CROSSVILLE MEMORIAL-WHITSON FLD,Yes,No,No,No
2A0,MARK ANTON,Yes,No,No,No
M02,DICKSON MUNICIPAL,Yes,No,No,No
DYR,DYERSBURG MUNICIPAL,Yes,No,No,No
50M,PUCKETT GLIDERPORT,Yes,No,No,No
0A9,ELIZABETHTON MUNICIPAL,Yes,No,No,No
FYM,FAYETTEVILLE MUNICIPAL,Yes,No,No,No
1A7,JACKSON COUNTY,Yes,No,No,No
M33,SUMNER COUNTY REGIONAL,Yes,No,No,No
GCY,GREENEVILLE-GREENE COUNTY MUNICIPAL,Yes,No,No,No
M31,ARNOLD FLD,Yes,No,No,No
0M3,JOHN A. BAKER FLD,Yes,No,No,No
M53,HUMBOLDT MUNICIPAL,Yes,No,No,No
HZD,CARROLL COUNTY,Yes,No,No,No
JAU,CAMPBELL COUNTY,Yes,No,No,No
MKL,MCKELLAR-SIPES REGIONAL,Yes,No,No,No
2A1,JAMESTOWN MUNICIPAL,Yes,No,No,No
APT,MARION COUNTY - BROWN FLD,Yes,No,No,No
0A4,JOHNSON CITY,Yes,No,No,No
DKX,DOWNTOWN ISLAND,Yes,No,No,No
TYS,MCGHEE TYSON,Yes,No,No,No
3M7,LAFAYETTE MUNICIPAL,Yes,No,No,No
2M2,LAWRENCEBURG-LAWRENCEBURG COUNTY,Yes,No,No,No
M54,LEBANON MUNICIPAL,Yes,No,No,No
LUG,ELLINGTON,Yes,No,No,No
PVE,BEECH RIVER REGIONAL,Yes,No,No,No
M15,PERRY COUNTY,Yes,No,No,No
8A3,LIVINGSTON MUNICIPAL,Yes,No,No,No
MNV,MONROE COUNTY,Yes,No,No,No
M93,HOUSTON COUNTY,Yes,No,No,No
RNC,WARREN COUNTY MEMORIAL,Yes,No,No,No
M01,GENERAL DEWITT SPAIN,Yes,No,No,No
MEM,MEMPHIS INTERNATIONAL,Yes,No,No,No
2M8,CHARLES W. BAKER FLD,Yes,No,No,No
NQA,MILLINGTON REGIONAL JETPORT,Yes,No,No,No
MOR,MOORE-MURRELL FLD,Yes,No,No,No
6A4,JOHNSON COUNTY,Yes,No,No,No
MBT,MURFREESBORO MUNICIPAL,Yes,No,No,No
JWN,JOHN C TUNE,Yes,No,No,No
BNA,NASHVILLE INTERNATIONAL,Yes,No,No,No
SCX,SCOTT MUNICIPAL,Yes,No,No,No
PHT,HENRY COUNTY,Yes,No,No,No
1M5,PORTLAND MUNICIPAL,Yes,No,No,No
GZS,ABERNATHY FLD,Yes,No,No,No
RKW,ROCKWOOD MUNICIPAL,Yes,No,No,No
RVN,HAWKINS COUNTY,Yes,No,No,No
54M,WOLF RIVER,Yes,No,No,No
SNH,SAVANNAH-HARDIN COUNTY,Yes,No,No,No
SZY,ROBERT SIBLEY,Yes,No,No,No
GKT,GATLINBURG-PIGEON FORGE,Yes,No,No,No
UOS,FRANKLIN COUNTY,Yes,No,No,No
SYI,BOMAR FLD-SHELBYVILLE MUNICIPAL,Yes,No,No,No
0A3,SMITHVILLE MUNICIPAL,Yes,No,No,No
MQY,SMYRNA,Yes,No,No,No
FYE,FAYETTE COUNTY,Yes,No,No,No
SRB,UPPER CUMBERLAND REGIONAL,Yes,No,No,No
M91,SPRINGFIELD-ROBERTSON COUNTY,Yes,No,No,No
3A2,NEW TAZEWELL MUNICIPAL,Yes,No,No,No
0M2,REELFOOT,Yes,No,No,No
TGC,GIBSON COUNTY,Yes,No,No,No
THA,TULLAHOMA REGIONAL/WILLIAM NORTHERN FLD,Yes,No,No,No
UCY,EVERETT STEWART,Yes,No,No,No
0M5,HUMPHREYS COUNTY,Yes,No,No,No
BGF,WINCHESTER MUNICIPAL,Yes,No,No,No
,,No,No,No,No
