Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ABI,ABILENE REGIONAL,No,No,No,Yes
67T,OLD HOPPE PLACE,No,No,No,No
T23,ALBANY MUNICIPAL,Yes,No,No,Yes
ALI,ALICE INTERNATIONAL,Yes,No,No,No
E38,ALPINE-CASPARIS MUNICIPAL,Yes,No,No,Yes
1E2,TERLINGUA RANCH,No,No,No,No
6R5,ALVIN AIRPARK,No,No,No,No
1E7,BUFFALO,No,No,No,Yes
1E4,PALO DURO,No,No,No,No
AMA,RICK HUSBAND AMARILLO INTERNATIONAL,No,No,No,Yes
H81,RIVER FALLS,No,No,No,No
TDW,TRADEWIND,Yes,No,No,No
T00,CHAMBERS COUNTY,Yes,No,No,Yes
E11,ANDREWS COUNTY,No,No,No,Yes
7R9,BAILES,No,No,No,No
81D,FLYIN TIGER,No,No,No,No
LBX,"LAKE JACKSON, TEXAS GULF COAST RGNL",No,No,No,Yes
T39,ARCHER CITY MUNICIPAL,No,No,No,No
GKY,ARLINGTON MUNICIPAL,Yes,No,No,Yes
T60,STONEWALL COUNTY,No,No,No,No
F44,ATHENS MUNICIPAL,Yes,No,No,No
ATA,HALL-MILLER MUNICIPAL,No,No,No,Yes
AUS,AUSTIN-BERGSTROM INTL,Yes,No,No,No
EDC,AUSTIN EXECUTIVE,No,No,No,No
HYI,SAN MARCOS RGNL,Yes,No,No,No
E30,BRUCE FIELD,No,No,No,No
BYY,BAY CITY RGNL,Yes,No,No,No
HPY,BAYTOWN,Yes,No,No,No
54T,R W J AIRPARK,Yes,No,No,No
5T0,WARD AIRPARK,No,No,No,No
BMT,BEAUMONT MUNICIPAL,No,No,No,No
BPT,"PORT ARTHUR, JACK BROOKS RGNL",Yes,No,No,Yes
BEA,BEEVILLE MUNICIPAL,Yes,No,No,Yes
TX2,CHASE FIELD INDUSTRIAL,No,No,No,No
06R,GRAWUNDER FIELD,No,No,No,Yes
E41,REAGAN COUNTY,No,No,No,Yes
BPG,BIG SPRING MC MAHON-WRINKLE,Yes,No,No,No
07R,BISHOP MUNICIPAL,No,No,No,No
F00,JONES FIELD,Yes,No,No,No
BGD,HUTCHINSON COUNTY,Yes,No,No,Yes
0F2,BOWIE MUNICIPAL,No,No,No,No
BBD,CURTIS FIELD,No,No,No,No
BKD,STEPHENS COUNTY,No,No,No,No
11R,BRENHAM MUNICIPAL,Yes,No,No,Yes
XBP,BRIDGEPORT MUNI,No,No,No,Yes
BFE,TERRY COUNTY,Yes,No,No,No
BRO,SOUTH PADRE ISLAND INT’L,No,No,No,No
BWD,BROWNWOOD REGIONAL,Yes,No,No,Yes
CFD,COULTER FIELD,Yes,No,No,No
BMQ,BURNET MUNI KATE CRADDOCK FIELD,No,No,No,Yes
7F3,CADDO MILLS MUNICIPAL,No,No,No,No
RWV,CALDWELL MUNICIPAL,No,No,No,Yes
T35,CAMERON MUNICIPAL AIRPARK,No,No,No,No
HHF,HEMPHILL COUNTY,No,No,No,Yes
7F5,CANTON-HACKNEY,Yes,No,No,Yes
CZT,DIMMIT COUNTY,Yes,No,No,Yes
4F2,PANOLA COUNTY-SHARPE FIELD,Yes,No,No,No
CVB,CASTROVILLE MUNICIPAL,Yes,No,No,Yes
T80,BISHOP’S LANDING,No,No,No,No
9S1,FOUR WINDS,No,No,No,No
F17,CENTER MUNICIPAL,Yes,No,No,No
CDS,CHILDRESS MUNICIPAL,No,No,No,No
3T8,WILDCAT CANYON,No,No,No,No
3F2,CISCO MUNICIPAL,No,No,No,Yes
GZN,GREGORY M SIMMS MEMORIAL,No,No,No,No
E34,BASS FIELD,No,No,No,No
LBR,RED RIVER CTY-J D TRISSELL FIELD,No,No,No,Yes
CPT,CLEBURNE REGIONAL,Yes,No,No,No
6R3,CLEVELAND MUNICIPAL,Yes,No,No,No
7F7,ISENHOWER FIELD,Yes,No,No,No
COM,COLEMAN MUNICIPAL,Yes,No,No,No
CLL,EASTERWOOD FIELD,Yes,No,No,No
T32,SUDDEN STOP,No,No,No,No
T88,COLORADO CITY,No,No,No,Yes
66R,ROBERT R WELLS JR,Yes,No,No,Yes
MKN,COMANCHE COUNTY-CITY,Yes,No,No,Yes
2F7,COMMERCE MUNICIPAL,Yes,No,No,No
55T,EAGLES AERODROME,No,No,No,No
CRP,CORPUS CHRISTI INTL,Yes,No,No,Yes
CRS,C DAVID CAMPBELL FIELD-CORSICANA MUNI,Yes,No,No,No
COT,COTULLA-LA SALLE COUNTY,Yes,No,No,No
E13,CRANE COUNTY,No,No,No,No
DKR,HOUSTON COUNTY,No,No,No,No
8F3,CROSBYTON MUNICIPAL,Yes,No,No,No
20R,CRYSTAL CITY MUNICIPAL,Yes,No,No,No
T71,CUERO MUNICIPAL,No,No,No,Yes
8F5,GREATER MORRIS COUNTY,No,No,No,No
DHT,DALHART MUNI,Yes,No,No,Yes
ADS,ADDISON,Yes,No,No,Yes
F69,AIR PARK-DALLAS,No,No,No,Yes
1F7,AIRPARK EAST,No,No,No,No
RBD,DALLAS EXECUTIVE,Yes,No,No,Yes
DAL,DALLAS LOVE FIELD,No,No,No,Yes
TKI,MCKINNEY NATL,Yes,No,No,No
DFW,DFW INTERNATIONAL,Yes,No,No,Yes
76T,BISHOP,No,No,No,No
LUD,DECATUR MUNICIPAL,Yes,No,No,No
58T,HERITAGE CREEK AIRSTRIP,No,No,No,No
09T,LAZY G BAR RANCH,No,No,No,No
DRT,DEL RIO INTERNATIONAL,Yes,No,No,Yes
2E5,DELL CITY MUNI,No,No,No,Yes
DTO,DENTON ENTERPRISE,Yes,No,No,No
E57,DENVER CITY,Yes,No,No,Yes
23R,DEVINE MUNICIPAL,No,No,No,Yes
24R,DILLEY AIRPARK,No,No,No,Yes
T55,DIMMITT MUNI,Yes,No,No,Yes
6R6,TERRELL COUNTY,No,No,No,No
9F0,DUBLIN MUNICIPAL,Yes,No,No,Yes
DUX,MOORE COUNTY,Yes,No,No,Yes
ELA,EAGLE LAKE,Yes,No,No,Yes
5T9,MAVERICK COUNTY MEMORIAL INTERNATIONAL,No,No,No,No
ETN,EASTLAND MUNICIPAL,Yes,No,No,No
EBG,S TX INTERNATIONAL AIRPORT AT EDINBURG,No,No,No,No
26R,JACKSON COUNTY,Yes,No,No,No
ELP,EL PASO INTERNATIONAL,No,No,No,Yes
27R,ELDORADO,Yes,No,No,Yes
F41,ENNIS MUNICIPAL,No,No,No,No
E35,FABENS,Yes,No,No,Yes
BKS,BROOKS COUNTY,No,No,No,No
