Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
CDA,Caledonia County State Airport,No,No,No,No
MPV,Edward F. Knapp State Airport,No,No,No,No
FSO,Franklin County State Airport,Yes,No,No,No
VSF,Hartness State Airport,No,No,No,No
6B0,Middlebury State Airport,No,No,No,No
MVL,Stowe State Airport,No,No,No,No
EFK,Northeast Kingdom International Airport,No,No,No,No
RUT,Southern Vermont Regional Airport,No,No,No,No
DDH,William H. Morse State Airport,Yes,No,No,No
0B7,Sugarbush Airport,No,No,No,No
BTV,Burlington International Airport,No,No,No,No
5B1,John H. Boylan State Airport,No,No,No,No
B06,Basin Harbor Airport,No,No,No,No
4V8,Deerfield Valley Regional Airport,No,No,No,No
2B9,Post Mills Airport,No,No,No,No
VT8,Shelburne Airport,No,No,No,No
