Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
74S,Anacortes,No,No,No,No
21H,Skyline SPB,No,No,No,No
D69,,No,No,No,No
AWO,Arlington Municipal,No,No,No,No
S50,Auburn Municipal,No,No,No,No
4W0,Bandera State,No,No,No,No
W58,Cedars North,No,No,No,No
W52,Goheen,No,No,No,No
BLI,Bellingham International,No,No,No,No
0W7,Floathaven SPB,No,No,No,No
PWT,Bremerton National,No,No,No,No
S97,Anderson Field,No,No,No,No
BVS,Skagit Regional,No,No,No,No
1W1,Grove Field,No,No,No,No
8S2,Cashmere-Dryden,No,No,No,No
CLS,Chehalis-Centralia,No,No,No,No
S10,Lake Chelan,No,No,No,No
1S9,Chewelah Municipal Airport,No,No,No,No
S93,Cle Elum Municipal,No,No,No,No
2W1,De Vere Field,No,No,No,No
00W,Lower Granite State,No,No,No,No
S94,Port of Whitman Business Air Center,Yes,No,No,No
S95,Martin Field,No,No,No,No
63S,Colville Municipal,Yes,No,No,No
3W5,Mears Field,No,No,No,No
S16,Copalis State,No,No,No,No
DLS,Columbia Gorge Regional,No,No,No,No
1S2,Darrington Municipal,No,No,No,No
68S,Davenport Municipal,No,No,No,No
DEW,Deer Park Municipal,No,No,No,No
ESW,Easton State,No,No,No,No
ORS,Orcas Island,No,No,Yes,No
2W3,Swanson Field,No,No,No,No
3W7,Grand Coulee Dam,Yes,No,No,No
ELN,Bowers Field,No,No,No,No
EPH,Ephrata Municipal,No,No,No,No
PAE,Seattle Paine Field International,No,No,No,No
S18,Forks Municipal,No,No,No,No
FHR,Friday Harbor,No,No,No,No
W33,Friday Harbor SPB,No,No,No,No
S20,Goldendale Municipal,No,No,No,No
21W,Ranger Creek State,No,No,No,No
HQM,Bowerman Field,No,No,No,No
7W1,Port of Ilwaco,No,No,No,No
S23,Ione Municipal,No,No,No,No
W09,Lower Monumental State,No,No,No,No
KLS,Southwest Washington Regional,No,No,No,No
S60,Kenmore Air Harbor SPB,No,No,No,No
S36,Norman Grier Field,No,No,No,No
W37,American Lake SPB,No,No,No,No
W10,Whidbey Air Park,No,No,Yes,No
69S,Avey Field,No,No,No,No
27W,Lake Wenatchee State,No,No,No,No
0S0,Lind Municipal,No,No,No,No
S31,Lopez Island,No,No,No,No
38W,Lynden Municipal Airport (Jansen Field),No,No,No,No
8W3,Mansfield,No,No,No,No
M94,Desert Aire,No,No,No,No
W12,Lost River,No,No,No,No
70S,Mead Flying Service,No,No,No,No
09S,Sullivan Lake State,No,No,No,No
W16,First Air Field,No,No,No,No
39P,Strom Field,No,No,No,No
MWH,Grant County International,No,No,No,No
W20,Moses Lake Municipal,No,No,No,No
OKH,DeLaurentis,No,No,No,No
W04,Ocean Shores Municipal,No,No,No,No
43D,Odessa Municipal,No,No,No,No
S35,Okanogan Legion,Yes,No,No,No
44T,Hoskins Field,No,No,No,No
OLM,Olympia Regional,No,No,No,No
OMK,Omak Municipal,No,No,No,No
0S7,Dorothy Scott International,No,No,No,No
S70,Othello Municipal,No,No,No,No
55S,Packwood,No,No,No,No
PSC,Tri-Cities,No,No,No,No
1RL,Point Roberts Airpark,No,No,No,No
CLM,William R. Fairchild International,No,No,No,No
0S9,Jefferson County International,No,No,No,No
83Q,Port of Poulsbo Marina Moorage SPB,No,No,No,No
S40,Prosser,No,No,No,No
PUW,Pullman-Moscow Regional,No,No,No,No
PLU,Pierce County-Thun Field,No,No,No,No
UIL,Quillayute,No,No,No,No
80T,Quincy Municipal,No,No,No,No
RNT,Renton Municipal,No,No,No,No
W36,Will Rogers,No,No,No,No
R49,Ferry County,No,No,No,No
RLD,Richland,No,No,No,No
4S6,Tieton State,No,No,No,No
33S,Pru Field,No,No,No,No
W39,Roche Harbor SPB,No,No,No,No
72S,Rosalia Municipal,No,No,No,No
W49,Rosario SPB,No,No,No,No
BFI,Boeing Field,No,No,No,No
W55,Kenmore Air Harbor SPB,No,No,No,No
0W0,Seattle Seaplanes SPB,No,No,No,No
SEA,Seattle-Tacoma International,No,No,No,No
11S,Sekiu,No,No,No,No
W28,Sequim Valley,No,No,No,No
SHN,Sanderson Field,No,No,No,No
8W5,Apex,No,No,No,No
S88,Skykomish State,No,No,No,No
S43,Harvey Field,No,No,No,No
2S9,Willapa Harbor,No,No,No,No
3B8,Shady Acres,No,No,No,No
SFF,Felts Field,No,No,No,No
GEG,Spokane International,No,No,No,No
13W,Camano Island Airfield,No,No,No,No
16W,Little Goose Lock & Dam State,No,No,No,No
6S9,Stehekin State,No,No,No,No
1S5,Sunnyside Municipal,No,No,No,No
TIW,Tacoma Narrows,No,No,No,No
73S,Willard Field,No,No,No,No
TDO,Ed Carlson Memorial Field- South Lewis County,No,No,No,No
W01,Tonasket Municipal,No,No,No,No
2S0,Twisp Municipal,Yes,No,No,No
W56,Fly For Fun,No,No,No,No
VUO,Pearson Field,No,No,No,No
2S1,Vashon Municipal,No,No,No,No
ALW,Walla Walla Regional,No,No,No,No
2S4,Warden,No,No,No,No
2S5,Waterville,No,No,No,No
EAT,Pangborn Memorial,No,No,No,No
14S,Westport,No,No,No,No
2S8,Wilbur Municipal,No,No,No,No
5W1,Wilson Creek,No,No,No,No
S52,Methow Valley State,No,No,No,No
W27,Woodland State,No,No,No,No
YKM,Yakima Air Terminal,No,No,No,No
