Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
54W,Albany,No,No,No,No
AHH,Amery Municipal,No,No,No,No
AIG,Langlade County,No,No,No,No
ATW,Appleton International,No,No,No,No
ASX,John F. Kennedy Memorial,No,No,No,No
DLL,Baraboo – Wisconsin Dells Regional,No,No,No,No
9Y7,Barron Municipal,No,No,No,No
44C,Beloit,No,No,No,No
BCK,Black River Falls Area,No,No,No,No
OVS,Boscobel,Yes,No,No,No
BDJ,Boulder Junction Payzer,No,No,No,No
3T3,Boyceville Municipal,No,No,No,No
C37,Brodhead,Yes,No,No,No
02C,Capitol Drive,No,No,No,No
BUU,Burlington Municipal,No,No,No,No
3CU,Cable Union,No,No,No,No
49C,Camp Lake,No,No,No,No
C74,Cassville Municipal,No,No,No,No
Y23,Chetek Municipal – Southworth,No,No,No,No
11Y,Flying Feathers,No,No,No,No
CLI,Clintonville Municipal,No,No,No,No
23W,Cornucopia Field,No,No,No,No
Y55,Crandon – Steve Conway Municipal,No,No,No,No
3D1,Crivitz Municipal,No,No,No,No
UBE,Cumberland Municipal,No,No,No,No
C59,Lake Lawn,No,No,No,No
5G4,Eau Claire Lakes,No,No,No,No
EGV,Eagle River Union,Yes,Yes,No,No
57C,East Troy Municipal,No,No,No,No
EAU,Chippewa Valley Regional,No,No,No,No
58C,Jana,No,No,No,No
60C,Elroy,No,No,No,No
3D2,Ephraim – Gibraltar,Yes,Yes,No,No
FLD,Fond du Lac County,No,No,No,No
61C,Fort Atkinson Municipal,No,No,No,No
62C,Cindy Guntly Memorial,No,No,No,No
63C,Adams County Legion Field,No,No,No,No
GTG,Grantsburg Municipal,No,No,No,No
GRB,Green Bay – Austin Straubel International,No,No,No,No
HXF,Hartford Municipal,No,No,No,No
HYR,Sawyer County,No,No,No,No
68C,Central County,No,No,No,No
Y77,Bayfield County,No,No,No,No
JVL,Southern Wisconsin Regional,No,No,No,No
UNU,Dodge County,No,No,No,No
ENW,Kenosha Regional,No,No,No,No
LSE,La Crosse Regional,No,No,No,No
4R5,Major Gilbert Field,No,No,No,No
RCX,Rusk County,No,No,No,No
C02,Grand Geneva Resort,No,No,No,No
73C,Lancaster Municipal,No,No,No,No
LNL,Kings Land O’ Lakes,No,No,No,No
LNR,Tri-County Regional,No,No,No,No
87Y,Blackhawk Airfield,No,No,No,No
MSN,Dane County Regional – Truax Field,No,No,No,No
MSN,Dane County Regional Airport – Truax Field Diagram Madison,No,No,No,No
D25,Manitowish Waters,No,No,No,No
MTW,Manitowoc County,No,No,No,No
MFI,Marshfield Municipal,No,No,No,No
MDZ,Taylor County,No,No,No,No
LUM,Menomonie Municipal – Score Field,No,No,No,No
RRL,Merrill Municipal,No,No,No,No
C29,Middleton Municipal – Morey Field,No,No,No,No
MKE,General Mitchell International,No,No,No,No
MWC,Lawrence J. Timmerman,No,No,No,No
MRJ,00 Iowa County,No,No,No,No
ARV,01 Lakeland – Noble F. Lee Memorial Field,No,No,No,No
EFT,02 Monroe Municipal,No,No,No,No
CWA,03 Central Wisconsin,No,No,No,No
DAF,05 Necedah,No,No,No,No
VIQ,06 Neillsville Municipal,No,No,No,No
8D1,07 New Holstein Municipal,No,No,No,No
82C,08 Mauston – New Lisbon Union,No,No,No,No
RNH,09 New Richmond Regional,No,No,No,No
OCQ,10 Oconto – J. Douglas Bake Municipal,Yes,No,No,No
OEO,11 L.O. Simenstad Municipal,No,No,No,No
OSH,12 Wittman Regional,No,No,No,No
96WI,14 Vette / Blust SPB,No,No,No,No
88C,15 Palmyra Municipal,No,No,No,No
PKF,16 Parks Falls Municipal,No,No,No,No
PBH,17 Price County,No,No,No,No
PVB,18 Platteville Municipal,No,No,No,No
C47,19 Portage Municipal,No,No,No,No
PDC,20 Prairie du Chien Municipal,No,No,No,No
91C,21 Sauk – Prairie,No,No,No,No
5N2,22 Prentice,No,No,No,No
92C,23 Carter,No,No,No,No
RAC,24 Batten International,No,No,No,No
RGK,25 Red Wing Regional,No,No,No,No
C35,26 Reedsburg Municipal,No,No,No,No
RHI,27 Rhinelander – Oneida County,No,No,No,No
RPD,29 Rice Lake Regional – Carl’s Field,No,No,No,No
93C,30 Richland,No,No,No,No
94C,31 Gilbert Field,No,No,No,No
EZS,32 Shawano Municipal,No,No,No,No
SBM,33 Sheboygan County Memorial,No,No,No,No
SSQ,34 Shell Lake Municipal,No,No,No,No
W34,35 Shiocton,No,No,No,No
RZN,36 Burnett County,No,No,No,No
SS1,37 North Country Seaplane Base,No,No,No,No
OLG,38 Solon Springs Municipal,No,No,No,No
CMY,39 Sparta – Fort McCoy,No,No,No,No
1H9,41 Nest of Eagles,No,No,No,No
STE,42 Stevens Point Municipal,No,No,No,No
SUE,43 Door County Cherryland,No,No,No,No
C89,44 Sylvania,No,No,No,No
W11,45 Sullivan,No,No,No,No
SUW,46 Richard I. Bong,No,No,No,No
7P5,47 Piso,No,No,No,No
40D,48 Three Lakes Municipal,No,No,No,No
Y72,49 Bloyer Field,No,No,No,No
TKV,50 Tomahawk Regional,No,No,No,No
W19,51 Verona Air Park,No,No,No,No
Y51,52 Viroqua Municipal,No,No,No,No
VOK,53 Volk Field ANG Base,No,No,No,No
7V3,55 Big Foot Airfield,No,No,No,No
2P2,56 Washington Island,No,No,No,No
RYV,57 Watertown Municipal,No,No,No,No
UES,58 Waukesha County,No,No,No,No
6P3,60 Waunakee,No,No,No,No
PCZ,61 Waupaca Municipal,No,No,No,No
AUW,62 Wausau Downtown,Yes,No,No,No
Y50,63 Wautoma Municipal,No,No,No,No
ETB,64 West Bend Municipal,No,No,No,No
5Y3,65 Gutzmer’s Twin Oaks,No,No,No,No
W23,66 Wild Rose Idlewild,No,No,No,No
ISW,67 Alexander Field South Wood County,No,No,No,No
4D1,68 Three Castles Airpark,No,No,No,No
