Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
AFO,Lincoln County Municipal Airport AFO,Yes,No,No,Yes
BPI,Miley Memorial Field BPI,Yes,No,No,Yes
BYG,Johnson County Airport BYG,Yes,No,No,Yes
CPR,Natrona County Interna�onal Airport CPR,Yes,No,No,Yes
CYS,Jerry Olson Field CYS,Yes,No,No,Yes
COD,Yellowstone Regional Airport COD,Yes,No,No,Yes
U06,Cokeville Municipal Airport,No,No,No,No
U68,North Big Horn County Airport U68,No,No,No,No
DWX,Dixon Airport,No,No,No,No
DGW,Converse County Airport DGW,Yes,No,No,No
DUB,Dubois Municipal Airport,Yes,No,No,Yes
EVW,Uinta County Airport,Yes,No,No,No
RKS,Southwest Wyoming Regional Airport,Yes,No,No,No
FBR,Fort Bridger Airport,No,No,No,No
GCC,Northeast Wyoming Regional Airport GCC,Yes,No,No,Yes
76V,Thomas Memorial 76V,No,No,No,Yes
48U,Greater Green River Intergalac�c Spaceport,No,No,No,No
GEY,South Big Horn County Airport GEY,No,No,No,Yes
GUR,Camp Guernsey Army Airfield GUR,Yes,No,No,Yes
W43,Hule� Municipal Airport,No,No,No,No
JAC,Jackson Hole Airport,Yes,No,No,Yes
EMM,Kemmerer Municipal Airport,Yes,No,No,No
LND,Hunt Field LND,Yes,No,No,Yes
LAR,Laramie Regional Airport,Yes,No,No,No
LSK,Lusk Municipal Airport,Yes,No,No,No
80V,Medicine Bow Airport,No,No,No,No
ECS,Mondell Field ECS,Yes,No,No,No
82V,Pine Bluffs Municipal Airport,Yes,No,No,No
PNA,Ralph Wenz Field PNA,Yes,No,No,No
POY,Powell Municipal Airport,Yes,No,No,No
RWL,Harvey Field RWL,Yes,No,No,Yes
RIW,Central Wyoming Regional Airport RIW,Yes,No,No,Yes
SAA,Shively Field SAA,Yes,No,No,Yes
SHR,Sheridan County Airport,Yes,No,No,Yes
49U,Shoshoni Municipal Airport,No,No,No,Yes
HSG,Hot Springs County Airport HSG,Yes,No,No,No
TOR,Torrington Municipal Airport,Yes,No,No,Yes
83V,Upton Municipal Airport,No,No,No,Yes
EAN,Phifer Airfield EAN,No,No,No,Yes
WRL,Worland Municipal Airport,Yes,No,No,No
